mode,channel,layer,rate,frameBytes,snrDb,levelDb,cfoHz,trials,successes,successRate,ciLo,ciHi,fer,codedBer,margin
afsk300,Awgn,Frame,12000,60,12,0,0,25,25,1,0.866804,1,0,0,0
afsk300,Awgn,Frame,12000,60,12,0,5,25,25,1,0.866804,1,0,0,0
afsk300,Awgn,Frame,12000,60,12,0,-5,25,25,1,0.866804,1,0,0,0
afsk300,Awgn,Frame,12000,60,12,0,10,25,25,1,0.866804,1,0,0,0
afsk300,Awgn,Frame,12000,60,12,0,-10,25,25,1,0.866804,1,0,0,0
afsk300,Awgn,Frame,12000,60,12,0,20,25,25,1,0.866804,1,0,0,0
afsk300,Awgn,Frame,12000,60,12,0,-20,25,25,1,0.866804,1,0,0,0
afsk300,Awgn,Frame,12000,60,12,0,40,25,25,1,0.866804,1,0,0,0
afsk300,Awgn,Frame,12000,60,12,0,-40,25,25,1,0.866804,1,0,0,0
afsk300,Awgn,Frame,12000,60,12,0,60,25,16,0.64,0.445182,0.797523,0.36,0.36,0
afsk300,Awgn,Frame,12000,60,12,0,-60,25,16,0.64,0.445182,0.797523,0.36,0.36,0
afsk300,Awgn,Frame,12000,60,12,0,80,25,9,0.36,0.202477,0.554818,0.64,0.64,0
afsk300,Awgn,Frame,12000,60,12,0,-80,25,12,0.48,0.30031,0.665018,0.52,0.52,0
afsk300,Awgn,Frame,12000,60,12,0,100,25,2,0.08,0.0222199,0.249665,0.92,0.92,0
afsk300,Awgn,Frame,12000,60,12,0,-100,25,3,0.12,0.0416674,0.299562,0.88,0.88,0
afsk300,Awgn,Frame,12000,60,12,0,120,25,0,0,0,0.133196,1,1,0
afsk300,Awgn,Frame,12000,60,12,0,-120,25,1,0.04,0.00709605,0.195445,0.96,0.96,0
