mode,channel,layer,rate,frameBytes,snrDb,levelDb,cfoHz,trials,successes,successRate,ciLo,ciHi,fer,codedBer,margin
qpsk600,Awgn,Frame,12000,60,8,0,0,25,25,1,0.866804,1,0,0,0
qpsk600,Awgn,Frame,12000,60,8,0,5,25,0,0,0,0.133196,1,1,0
qpsk600,Awgn,Frame,12000,60,8,0,-5,25,0,0,0,0.133196,1,1,0
qpsk600,Awgn,Frame,12000,60,8,0,10,25,0,0,0,0.133196,1,1,0
qpsk600,Awgn,Frame,12000,60,8,0,-10,25,0,0,0,0.133196,1,1,0
qpsk600,Awgn,Frame,12000,60,8,0,20,25,0,0,0,0.133196,1,1,0
qpsk600,Awgn,Frame,12000,60,8,0,-20,25,0,0,0,0.133196,1,1,0
qpsk600,Awgn,Frame,12000,60,8,0,40,25,0,0,0,0.133196,1,1,0
qpsk600,Awgn,Frame,12000,60,8,0,-40,25,0,0,0,0.133196,1,1,0
qpsk600,Awgn,Frame,12000,60,8,0,60,25,0,0,0,0.133196,1,1,0
qpsk600,Awgn,Frame,12000,60,8,0,-60,25,0,0,0,0.133196,1,1,0
qpsk600,Awgn,Frame,12000,60,8,0,80,25,0,0,0,0.133196,1,1,0
qpsk600,Awgn,Frame,12000,60,8,0,-80,25,0,0,0,0.133196,1,1,0
qpsk600,Awgn,Frame,12000,60,8,0,100,25,0,0,0,0.133196,1,1,0
qpsk600,Awgn,Frame,12000,60,8,0,-100,25,0,0,0,0.133196,1,1,0
qpsk600,Awgn,Frame,12000,60,8,0,120,25,0,0,0,0.133196,1,1,0
qpsk600,Awgn,Frame,12000,60,8,0,-120,25,0,0,0,0.133196,1,1,0
