burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,3000502,12256,12288,0,-1,-1,26,15927,2731,8,0,0,0,Eom
1,3001502,12256,12288,0,-1,-1,16,15660,2508,8,0,0,0,Eom
2,3002502,12256,12288,0,-1,-1,29,15931,3212,8,0,0,0,Eom
3,3003502,12256,12288,0,-1,-1,21,15149,2869,8,0,0,0,Eom
4,3004502,12256,12288,0,-1,-1,25,13986,1535,8,0,0,0,Eom
5,3005502,12256,12288,0,-1,-1,22,15532,3064,8,0,0,0,Eom
6,3006502,12256,12288,0,-1,-1,26,14904,2876,8,0,0,0,Eom
7,3007502,12256,12288,0,-1,-1,28,15230,3203,8,0,0,0,Eom
8,3008502,12256,12288,0,-1,-1,24,15916,3547,8,0,0,0,Eom
9,3009502,12256,12288,0,-1,-1,24,15560,2641,8,0,0,0,Eom
10,3010502,12256,12288,0,-1,-1,25,15587,3409,8,0,0,0,Eom
11,3011502,12256,12288,0,-1,-1,24,15762,3290,8,0,0,0,Eom
12,3012502,12256,12288,0,-1,-1,24,14231,1734,8,0,0,0,Eom
13,3013502,12256,12288,0,-1,-1,26,15198,3012,8,0,0,0,Eom
14,3014502,12256,12288,0,-1,-1,28,14891,2352,8,0,0,0,Eom
15,3015502,12256,12288,0,-1,-1,24,14525,2552,8,0,0,0,Eom
16,3016502,12256,12288,0,-1,-1,29,15623,2447,8,0,0,0,Eom
17,3017502,12256,12288,0,-1,-1,27,14922,2796,8,0,0,0,Eom
18,3018502,12256,12288,0,-1,-1,27,15231,2750,8,0,0,0,Eom
19,3019502,12256,12288,0,-1,-1,23,15015,1872,8,0,0,0,Eom
20,3020502,12256,12288,0,-1,-1,22,14601,2422,8,0,0,0,Eom
21,3021502,12256,12288,0,-1,-1,26,14102,2739,8,0,0,0,Eom
22,3022502,12256,12288,0,-1,-1,24,13838,1949,8,0,0,0,Eom
23,3023502,12256,12288,0,-1,-1,21,15463,2365,8,0,0,0,Eom
24,3024502,12256,12288,0,-1,-1,25,13912,1880,8,0,0,0,Eom
25,3025502,12256,12288,0,-1,-1,31,15496,3185,8,0,0,0,Eom
26,3026502,12256,12288,0,-1,-1,28,14736,2230,8,0,0,0,Eom
27,3027502,12256,12288,6106,6,12255,29,11185,1530,32,0,0,0,
28,3028502,12256,12288,0,-1,-1,24,14112,2259,8,0,0,0,Eom
29,3029502,12256,12288,0,-1,-1,17,14988,1925,8,0,0,0,Eom
30,3030502,12256,12288,0,-1,-1,30,15846,3519,8,0,0,0,Eom
31,3031502,12256,12288,0,-1,-1,28,15362,2910,8,0,0,0,Eom
32,3032502,12256,12288,0,-1,-1,25,14401,2170,8,0,0,0,Eom
33,3033502,12256,12288,0,-1,-1,27,13748,2455,8,0,0,0,Eom
34,3034502,12256,12288,0,-1,-1,23,15377,3054,8,0,0,0,Eom
35,3035502,12256,12288,0,-1,-1,26,15190,3221,8,0,0,0,Eom
36,3036502,12256,12288,0,-1,-1,20,15783,3074,8,0,0,0,Eom
37,3037502,12256,6144,6112,6144,12255,15,7516,1152,4,0,0,0,SignalLost
38,3038502,12256,12288,0,-1,-1,30,16169,2983,8,0,0,0,Eom
39,3039502,12256,12288,0,-1,-1,18,14457,1970,8,0,0,0,Eom
40,3040502,12256,1536,10720,1536,12255,4,1954,754,1,0,0,0,SignalLost
41,3041502,12256,12288,0,-1,-1,25,15965,3430,8,0,0,0,Eom
42,3042502,12256,12288,0,-1,-1,25,15596,2719,8,0,0,0,Eom
43,3043502,12256,12288,0,-1,-1,24,14577,2208,8,0,0,0,Eom
44,3044502,12256,12288,0,-1,-1,23,13881,2931,8,0,0,0,Eom
45,3045502,12256,12288,0,-1,-1,26,15140,3114,8,0,0,0,Eom
46,3046502,12256,12288,0,-1,-1,26,14752,2097,8,0,0,0,Eom
47,3047502,12256,12288,0,-1,-1,27,14966,2423,8,0,0,0,Eom
48,3048502,12256,12288,0,-1,-1,32,15827,3242,8,0,0,0,Eom
49,3049502,12256,12288,0,-1,-1,24,13985,2129,8,0,0,0,Eom
50,3050502,12256,12288,0,-1,-1,32,14899,2999,8,0,0,0,Eom
51,3051502,12256,12288,0,-1,-1,30,15746,2577,8,0,0,0,Eom
52,3052502,12256,12288,0,-1,-1,29,14853,2772,8,0,0,0,Eom
53,3053502,12256,12288,0,-1,-1,30,16136,3731,8,0,0,0,Eom
54,3054502,12256,12288,0,-1,-1,28,15157,3228,8,0,0,0,Eom
55,3055502,12256,12288,0,-1,-1,21,14669,2701,8,0,0,0,Eom
56,3056502,12256,12288,0,-1,-1,22,15574,2753,8,0,0,0,Eom
57,3057502,12256,12288,0,-1,-1,27,14932,3376,8,0,0,0,Eom
58,3058502,12256,12288,0,-1,-1,25,14970,3156,8,0,0,0,Eom
59,3059502,12256,12288,0,-1,-1,17,15080,3044,8,0,0,0,Eom
60,3060502,12256,12288,0,-1,-1,31,15328,2896,8,0,0,0,Eom
61,3061502,12256,12288,0,-1,-1,29,14607,3612,8,0,0,0,Eom
