burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,1000502,12256,12288,0,-1,-1,24,15694,4038,8,0,0,0,Eom
1,1001502,12256,12288,0,-1,-1,27,15800,3138,8,0,0,0,Eom
2,1002502,12256,12288,0,-1,-1,17,14812,1544,8,0,0,0,Eom
3,1003502,12256,12288,0,-1,-1,23,14738,2537,8,0,0,0,Eom
4,1004502,12256,12288,0,-1,-1,21,14395,2054,8,0,0,0,Eom
5,1005502,12256,12288,0,-1,-1,29,14742,3271,8,0,0,0,Eom
6,1006502,12256,12288,0,-1,-1,26,15464,2351,8,0,0,0,Eom
7,1007502,12256,12288,0,-1,-1,27,15818,3529,8,0,0,0,Eom
8,1008502,12256,12288,0,-1,-1,22,15300,2594,8,0,0,0,Eom
9,1009502,12256,12288,0,-1,-1,22,16375,3392,8,0,0,0,Eom
10,1010502,12256,12288,0,-1,-1,30,15244,3471,8,0,0,0,Eom
11,1011502,12256,12288,0,-1,-1,26,14535,2271,8,0,0,0,Eom
12,1012502,12256,12288,0,-1,-1,26,15871,2393,8,0,0,0,Eom
13,1013502,12256,12288,0,-1,-1,24,15387,3057,8,0,0,0,Eom
14,1014502,12256,12288,0,-1,-1,27,14536,2686,8,0,0,0,Eom
15,1015502,12256,12288,0,-1,-1,29,15376,3174,8,0,0,0,Eom
16,1016502,12256,12288,0,-1,-1,20,15474,2693,8,0,0,0,Eom
17,1017502,12256,12288,0,-1,-1,24,15232,3215,8,0,0,0,Eom
18,1018502,12256,12288,0,-1,-1,26,14518,3012,8,0,0,0,Eom
19,1019502,12256,12288,0,-1,-1,38,16083,4097,8,0,0,0,Eom
20,1020502,12256,12288,0,-1,-1,18,14143,1593,8,0,0,0,Eom
21,1021502,12256,12288,0,-1,-1,32,16280,2871,8,0,0,0,Eom
22,1022502,12256,12288,0,-1,-1,31,15200,3249,8,0,0,0,Eom
23,1023502,12256,12288,0,-1,-1,32,14946,3295,8,0,0,0,Eom
24,1024502,12256,12288,0,-1,-1,23,15424,2984,8,0,0,0,Eom
25,1025502,12256,12288,0,-1,-1,23,15115,2969,8,0,0,0,Eom
26,1026502,12256,12288,0,-1,-1,19,14930,2167,8,0,0,0,Eom
27,1027502,12256,12288,0,-1,-1,25,15448,2736,8,0,0,0,Eom
28,1028502,12256,12288,0,-1,-1,22,14691,2601,8,0,0,0,Eom
29,1029502,12256,12288,0,-1,-1,22,13900,1009,8,0,0,0,Eom
30,1030502,12256,12288,0,-1,-1,21,13932,2282,8,0,0,0,Eom
31,1031502,12256,12288,0,-1,-1,27,15297,2946,8,0,0,0,Eom
32,1032502,12256,12288,0,-1,-1,27,15512,2378,8,0,0,0,Eom
33,1033502,12256,12288,0,-1,-1,22,15141,3014,8,0,0,0,Eom
34,1034502,12256,12288,0,-1,-1,23,14331,2231,8,0,0,0,Eom
35,1035502,12256,12288,0,-1,-1,26,15837,3371,8,0,0,0,Eom
36,1036502,12256,12288,0,-1,-1,28,15740,2612,8,0,0,0,Eom
37,1037502,12256,12288,0,-1,-1,29,16282,3461,8,0,0,0,Eom
38,1038502,12256,12288,0,-1,-1,23,16048,3254,8,0,0,0,Eom
39,1039502,12256,12288,0,-1,-1,29,15002,2520,8,0,0,0,Eom
40,1040502,12256,12288,0,-1,-1,23,14602,2819,8,0,0,0,Eom
41,1041502,12256,12288,0,-1,-1,26,15320,2448,8,0,0,0,Eom
42,1042502,12256,12288,0,-1,-1,25,14391,2758,8,0,0,0,Eom
43,1043502,12256,12288,0,-1,-1,27,15726,3057,8,0,0,0,Eom
44,1044502,12256,12288,0,-1,-1,30,15815,3189,8,0,0,0,Eom
45,1045502,12256,12288,0,-1,-1,26,14778,2734,8,0,0,0,Eom
46,1046502,12256,12288,0,-1,-1,26,14740,2539,8,0,0,0,Eom
47,1047502,12256,12288,0,-1,-1,27,15515,2722,8,0,0,0,Eom
48,1048502,12256,12288,0,-1,-1,36,15448,4437,8,0,0,0,Eom
49,1049502,12256,12288,0,-1,-1,26,13734,1937,8,0,0,0,Eom
50,1050502,12256,12288,0,-1,-1,26,14998,3744,8,0,0,0,Eom
51,1051502,12256,12288,0,-1,-1,21,14770,2283,8,0,0,0,Eom
52,1052502,12256,12288,0,-1,-1,25,15372,2686,8,0,0,0,Eom
53,1053502,12256,12288,0,-1,-1,26,15677,3292,8,0,0,0,Eom
54,1054502,12256,12288,0,-1,-1,29,14790,3220,8,0,0,0,Eom
55,1055502,12256,12288,0,-1,-1,19,14233,2418,8,0,0,0,Eom
56,1056502,12256,12288,0,-1,-1,31,16185,3526,8,0,0,0,Eom
57,1057502,12256,12288,0,-1,-1,29,15144,3090,8,0,0,0,Eom
58,1058502,12256,12288,0,-1,-1,19,15215,2108,8,0,0,0,Eom
59,1059502,12256,12288,0,-1,-1,23,14875,2920,8,0,0,0,Eom
60,1060502,12256,12288,0,-1,-1,28,13999,2139,8,0,0,0,Eom
61,1061502,12256,12288,0,-1,-1,24,15241,1910,8,0,0,0,Eom
