burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,503,24544,24576,0,-1,-1,11,9452,1359,8,0,0,0,Eom
1,1503,24544,24576,0,-1,-1,18,10729,2761,8,0,0,0,Eom
2,2503,24544,24576,0,-1,-1,9,11376,2180,8,0,0,0,Eom
3,3503,24544,24576,0,-1,-1,10,9920,2106,8,0,0,0,Eom
4,4503,24544,24576,0,-1,-1,12,10129,1650,8,0,0,0,Eom
5,5503,24544,24576,0,-1,-1,10,11557,2340,8,0,0,0,Eom
6,6503,24544,24576,0,-1,-1,11,9858,2122,8,0,0,0,Eom
7,7503,24544,24576,0,-1,-1,11,10154,1616,8,0,0,0,Eom
8,8503,24544,24576,0,-1,-1,9,9833,2637,8,0,0,0,Eom
9,9503,24544,24576,0,-1,-1,7,9966,1967,8,0,0,0,Eom
10,10503,24544,24576,0,-1,-1,11,10421,2912,8,0,0,0,Eom
11,11503,24544,24576,0,-1,-1,6,9804,2582,8,0,0,0,Eom
12,12503,24544,24576,0,-1,-1,12,10805,2265,8,0,0,0,Eom
13,13503,24544,24576,0,-1,-1,12,10938,2577,8,0,0,0,Eom
14,14503,24544,24576,0,-1,-1,7,9853,2351,8,0,0,0,Eom
15,15503,24544,24576,0,-1,-1,14,10921,1896,8,0,0,0,Eom
16,16503,24544,24576,0,-1,-1,15,10778,2966,8,0,0,0,Eom
17,17503,24544,24576,0,-1,-1,14,11032,2577,8,0,0,0,Eom
18,18503,24544,24576,0,-1,-1,9,10026,2422,8,0,0,0,Eom
19,19503,24544,24576,0,-1,-1,11,9522,2022,8,0,0,0,Eom
20,20503,24544,24576,0,-1,-1,12,11649,1853,8,0,0,0,Eom
21,21503,24544,24576,0,-1,-1,14,10273,1971,8,0,0,0,Eom
22,22503,24544,24576,0,-1,-1,19,10281,1973,8,0,0,0,Eom
23,23503,24544,24576,0,-1,-1,10,11165,2364,8,0,0,0,Eom
24,24503,24544,24576,0,-1,-1,15,10149,2326,8,0,0,0,Eom
25,25503,24544,24576,0,-1,-1,11,10223,2241,8,0,0,0,Eom
26,26503,24544,24576,0,-1,-1,4,9616,1773,8,0,0,0,Eom
27,27503,24544,24576,0,-1,-1,11,10698,2508,8,0,0,0,Eom
28,28503,24544,24576,0,-1,-1,12,9546,1775,8,0,0,0,Eom
29,29503,24544,24576,0,-1,-1,16,9636,1553,8,0,0,0,Eom
30,30503,24544,24576,0,-1,-1,8,10588,1943,8,0,0,0,Eom
