burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,502,12256,12288,0,-1,-1,10,12574,2458,8,0,0,0,Eom
1,1502,12256,12288,0,-1,-1,13,12456,2698,8,0,0,0,Eom
2,2502,12256,12288,0,-1,-1,13,12890,3515,8,0,0,0,Eom
3,3502,12256,12288,0,-1,-1,16,12318,2394,8,0,0,0,Eom
4,4502,12256,12288,0,-1,-1,11,11786,2562,8,0,0,0,Eom
5,5502,12256,12288,0,-1,-1,14,11862,1777,8,0,0,0,Eom
6,6502,12256,12288,0,-1,-1,12,11629,2216,8,0,0,0,Eom
7,7502,12256,12288,0,-1,-1,17,11814,2157,8,0,0,0,Eom
8,8502,12256,12288,0,-1,-1,16,12886,2438,8,0,0,0,Eom
9,9502,12256,12288,0,-1,-1,12,11088,2841,8,0,0,0,Eom
