burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,2000502,12256,12288,0,-1,-1,26,16032,3324,8,0,0,0,Eom
1,2001502,12256,12288,0,-1,-1,19,14816,2360,8,0,0,0,Eom
2,2002502,12256,12288,0,-1,-1,24,13884,1972,8,0,0,0,Eom
3,2003502,12256,12288,0,-1,-1,30,14787,2382,8,0,0,0,Eom
4,2004502,12256,12288,0,-1,-1,25,14040,2415,8,0,0,0,Eom
5,2005502,12256,12288,0,-1,-1,30,15115,3687,8,0,0,0,Eom
6,2006502,12256,12288,0,-1,-1,28,14220,2495,8,0,0,0,Eom
7,2007502,12256,12288,0,-1,-1,26,15047,2998,8,0,0,0,Eom
8,2008502,12256,12288,0,-1,-1,24,15326,3519,8,0,0,0,Eom
9,2009502,12256,12288,0,-1,-1,23,15828,3049,8,0,0,0,Eom
