block,symbolInBlock,bitInSymbol
0,7,1
0,14,0
0,40,0
0,45,1
0,76,0
0,84,0
0,89,1
0,93,0
0,103,1
0,119,1
0,152,1
0,155,1
0,157,0
0,157,1
0,160,0
0,162,0
0,162,1
0,165,0
0,170,1
0,205,1
0,295,1
0,297,1
0,300,1
0,302,1
0,305,1
0,307,0
0,307,1
0,309,0
0,311,0
0,312,0
0,316,0
0,317,1
0,322,0
0,322,1
0,327,1
0,332,0
0,358,1
0,383,1
0,497,0
0,502,1
0,507,1
0,604,0
0,614,0
0,619,1
0,643,0
0,662,1
0,667,1
0,670,0
0,675,0
0,680,1
0,708,0
0,718,0
0,729,0
0,761,0
0,764,0
0,770,1
0,775,0
0,780,0
0,790,0
0,809,0
0,814,1
0,829,1
0,853,0
0,858,0
0,875,0
0,925,1
0,940,0
0,950,0
0,2055,0
0,2068,0
0,2224,1
0,2251,1
0,2256,1
0,2263,1
0,2293,0
0,2297,0
0,2298,1
0,2302,1
0,2303,0
0,2315,1
0,2320,1
0,2325,1
0,2330,1
0,2335,1
0,2340,1
0,2344,0
0,2400,0
0,2446,1
0,2498,0
0,2503,0
0,2508,0
0,2513,0
0,2517,0
0,2518,1
0,2522,0
0,2522,1
0,2523,0
0,2527,1
0,2528,1
0,2532,1
0,2533,0
0,2533,1
0,2538,0
0,2543,1
0,2567,0
0,2568,1
0,2573,0
0,2578,0
0,2578,1
0,2579,1
0,2580,0
0,2583,0
0,2584,0
0,2585,1
0,2589,1
0,2594,0
0,2599,0
0,2599,1
0,2604,1
0,2607,0
0,2609,0
0,2611,1
0,2612,1
0,2614,0
0,2616,1
0,2617,0
0,2619,1
0,2621,1
0,2622,0
0,2633,0
0,2638,1
0,2646,0
0,2651,0
0,2651,1
0,2654,1
0,2656,1
0,2678,1
0,2683,1
0,2688,0
0,2725,1
0,2730,1
0,2817,0
0,2822,1
0,2825,0
0,2852,1
0,2857,1
0,2862,0
0,2910,0
0,2912,0
0,2915,0
0,2917,0
0,2919,1
0,2920,1
0,2922,0
0,2924,1
0,2929,1
0,3100,1
0,3105,1
0,3110,0
0,3442,0
0,3447,1
0,3448,1
0,3453,0
0,3461,0
0,3549,0
0,3574,1
0,3618,0
0,3620,0
0,3623,1
0,3628,0
0,3635,1
0,3639,0
0,3642,1
0,3655,1
0,3658,0
0,3663,0
0,3669,0
0,3692,1
0,3697,0
0,3697,1
0,3702,1
0,3713,0
0,3717,0
0,3718,0
0,3722,1
0,3727,0
0,3732,1
0,3739,0
0,3739,1
0,3744,0
0,3748,1
0,3749,1
0,3753,1
0,3756,0
0,3758,0
0,3758,1
0,3761,0
0,3761,1
0,3763,1
0,3769,0
0,3773,1
0,3783,1
0,3787,1
0,3792,0
0,3794,1
0,3799,0
0,3799,1
0,3804,1
0,3809,0
0,3809,1
0,3841,0
0,3844,1
0,3847,0
0,3848,0
0,3849,0
0,3849,1
0,3855,0
0,3855,1
0,3856,1
0,3860,1
0,3861,0
0,3861,1
0,3866,0
0,3868,1
0,3875,1
0,3881,1
0,3887,1
0,3896,1
0,3898,1
0,3900,1
0,3902,0
0,3905,0
0,3915,1
0,3920,0
0,3930,1
0,3932,0
0,3938,1
0,3945,1
0,3952,1
0,3967,0
0,3970,1
0,3973,0
0,3989,1
0,3994,0
0,4006,0
0,4071,1
0,4087,0
0,4178,1
0,4188,0
0,4197,1
0,4202,1
