index,p0re,p0im,p1re,p1im
0,0.63592,-0.11118,-0.00939,-0.81700
1,0.67022,-0.07618,-0.02641,-0.84228
2,0.70317,-0.04138,-0.04217,-0.86752
3,0.73463,-0.00692,-0.05658,-0.89273
4,0.76472,0.02708,-0.06967,-0.91794
5,0.79336,0.06027,-0.08145,-0.94314
6,0.82040,0.09240,-0.09186,-0.96824
7,0.84599,0.12349,-0.10098,-0.99309
8,0.86998,0.15318,-0.10877,-1.01785
9,0.89243,0.18139,-0.11521,-1.04231
10,0.91327,0.20789,-0.12042,-1.06635
11,0.93253,0.23261,-0.12441,-1.09008
12,0.95022,0.25523,-0.12729,-1.11331
13,0.96642,0.27568,-0.12915,-1.13601
14,0.98102,0.29394,-0.13005,-1.15816
15,0.99414,0.30985,-0.13006,-1.17966
16,1.00585,0.32310,-0.12935,-1.20045
17,1.01611,0.33386,-0.12804,-1.22058
18,1.02505,0.34197,-0.12629,-1.23980
19,1.03272,0.34744,-0.12411,-1.25824
20,1.03903,0.35022,-0.12174,-1.27584
21,1.04421,0.35035,-0.11921,-1.29238
22,1.04828,0.34783,-0.11684,-1.30807
23,1.05119,0.34265,-0.11469,-1.32272
24,1.05314,0.33482,-0.11286,-1.33639
25,1.05406,0.32450,-0.11154,-1.34898
26,1.05406,0.31177,-0.11082,-1.36047
27,1.05316,0.29669,-0.11097,-1.37089
28,1.05151,0.27942,-0.11180,-1.38020
29,1.04916,0.25997,-0.11362,-1.38847
30,1.04596,0.23850,-0.11658,-1.39566
31,1.04214,0.21527,-0.12068,-1.40170
32,1.03769,0.19037,-0.12604,-1.40676
33,1.03269,0.16380,-0.13267,-1.41065
34,1.02717,0.13587,-0.14059,-1.41364
35,1.02103,0.10675,-0.14984,-1.41561
36,1.01449,0.07660,-0.16054,-1.41664
37,1.00741,0.04553,-0.17262,-1.41672
38,0.99991,0.01369,-0.18610,-1.41581
39,0.99199,-0.01865,-0.20092,-1.41417
40,0.98367,-0.05157,-0.21703,-1.41159
41,0.97503,-0.08460,-0.23442,-1.40829
42,0.96599,-0.11786,-0.25290,-1.40431
43,0.95664,-0.15103,-0.27248,-1.39971
44,0.94693,-0.18413,-0.29305,-1.39450
45,0.93698,-0.21699,-0.31454,-1.38878
46,0.92674,-0.24945,-0.33678,-1.38264
47,0.91625,-0.28156,-0.35969,-1.37605
48,0.90548,-0.31312,-0.38309,-1.36899
