pass,block,bits,errBits,sumAbsRight,sumAbsWrong
first,0,32768,3843,48786.0,3149.3
smoothed,0,32768,3966,48234.2,3096.5
first,1,32768,3843,48363.8,2858.5
smoothed,1,32768,3990,47106.6,2756.9
first,2,32768,2544,52250.8,1996.9
smoothed,2,32768,2925,51022.8,2296.8
first,3,32768,4339,46531.6,3335.1
smoothed,3,32768,4699,45410.7,3397.1
first,4,32768,5361,44983.4,4531.4
smoothed,4,32768,5670,43412.3,4420.9
first,5,32768,5589,42269.8,4661.5
smoothed,5,32768,5951,40254.6,4396.6
first,6,32768,3690,48254.3,2949.0
smoothed,6,32768,3976,46704.9,2854.5
first,7,32768,3394,51787.5,2744.1
smoothed,7,32768,3611,51098.7,2922.0
first,8,32768,6683,41064.5,5120.1
smoothed,8,32768,6908,39587.4,4810.6
first,9,32768,4460,45217.0,3462.0
smoothed,9,32768,4620,43809.6,3230.0
first,10,32768,2818,51501.2,2204.4
smoothed,10,32768,3112,50832.2,2252.3
