block,symbolInBlock,bitInSymbol
0,1,0
0,6,0
0,10,0
0,11,0
0,15,0
0,18,0
0,19,0
0,21,0
0,23,0
0,24,0
0,26,0
0,30,0
0,32,0
0,34,0
0,36,0
0,37,0
0,40,0
0,41,0
0,42,0
0,47,0
0,48,0
0,53,0
0,62,0
0,68,0
0,76,0
0,85,0
0,86,0
0,91,0
0,95,0
0,96,0
0,97,0
0,99,0
0,122,0
0,124,0
0,127,0
0,128,0
0,130,0
0,140,0
0,146,0
0,149,0
0,156,0
0,166,0
0,173,0
0,176,0
0,190,0
0,196,0
0,203,0
0,205,0
0,224,0
0,238,0
0,239,0
0,246,0
0,251,0
0,253,0
0,277,0
0,290,0
0,291,0
0,293,0
0,297,0
0,302,0
0,305,0
0,324,0
0,329,0
0,392,0
0,414,0
0,416,0
0,418,0
0,421,0
0,428,0
0,432,0
0,437,0
0,480,0
0,496,0
0,499,0
0,501,0
0,607,0
0,628,0
0,633,0
0,635,0
0,640,0
0,645,0
0,905,0
0,910,0
0,938,0
0,1052,0
0,1059,0
0,1060,0
0,1064,0
0,1066,0
0,1114,0
0,1119,0
0,1124,0
0,1160,0
0,1165,0
0,1211,0
0,1238,0
0,1239,0
0,1255,0
0,1261,0
0,1263,0
0,1266,0
0,1267,0
0,1346,0
0,1348,0
0,1353,0
0,1356,0
0,1412,0
0,1417,0
0,1418,0
0,1422,0
0,1432,0
0,1433,0
0,1447,0
0,1452,0
0,1485,0
0,1524,0
0,1546,0
0,1580,0
0,1590,0
0,1593,0
0,1595,0
0,1598,0
0,1603,0
0,1612,0
0,1617,0
0,1630,0
0,1636,0
0,1641,0
0,1646,0
0,1652,0
0,1680,0
0,1684,0
0,1685,0
0,1689,0
0,1690,0
0,1694,0
0,1695,0
0,1698,0
0,1700,0
0,1703,0
0,1708,0
0,1709,0
0,1713,0
0,1714,0
0,1715,0
0,1719,0
0,1720,0
0,1730,0
0,1734,0
0,1735,0
0,1740,0
0,1750,0
0,1751,0
0,1755,0
0,1777,0
0,1794,0
0,1799,0
0,1809,0
0,1835,0
0,1837,0
0,1839,0
0,1848,0
0,1859,0
0,1860,0
0,1864,0
0,1872,0
0,1876,0
0,1877,0
0,1880,0
0,1881,0
0,1883,0
0,1885,0
0,1920,0
0,1925,0
0,1928,0
0,1933,0
0,1939,0
0,1946,0
0,1949,0
0,1953,0
0,1954,0
0,1956,0
0,1958,0
0,1959,0
0,1963,0
0,1966,0
0,1972,0
0,1978,0
0,1982,0
0,1987,0
0,1991,0
0,1996,0
0,2011,0
0,2016,0
0,2027,0
0,2037,0
0,2039,0
0,2042,0
0,2045,0
0,2049,0
0,2054,0
0,2059,0
0,2060,0
0,2075,0
0,2097,0
0,2100,0
0,2117,0
0,2127,0
0,2129,0
0,2142,0
0,2159,0
0,2181,0
0,2204,0
0,2211,0
0,2215,0
0,2216,0
0,2237,0
0,2240,0
0,2242,0
0,2266,0
0,2271,0
0,2276,0
0,2280,0
0,2285,0
0,2293,0
0,2301,0
0,2307,0
0,2310,0
0,2345,0
0,2346,0
0,2349,0
0,2350,0
0,2351,0
0,2364,0
0,2367,0
0,2392,0
0,2397,0
0,2407,0
0,2408,0
0,2413,0
0,2428,0
0,2432,0
0,2433,0
0,2442,0
0,2447,0
0,2455,0
0,2458,0
0,2470,0
0,2495,0
0,2503,0
0,2511,0
0,2512,0
0,2513,0
0,2520,0
0,2521,0
0,2526,0
0,2527,0
0,2529,0
0,2532,0
0,2533,0
0,2545,0
0,2547,0
0,2551,0
0,2553,0
0,2574,0
0,2576,0
0,2589,0
0,2591,0
0,2597,0
0,2602,0
0,2608,0
0,2613,0
0,2622,0
0,2627,0
0,2643,0
0,2644,0
0,2648,0
0,2653,0
0,2679,0
0,2694,0
0,2702,0
0,2707,0
0,2789,0
0,2794,0
0,2818,0
0,2887,0
0,3030,0
0,3067,0
0,3076,0
0,3080,0
0,3081,0
0,3085,0
0,3086,0
0,3102,0
0,3106,0
0,3127,0
0,3136,0
0,3141,0
0,3172,0
0,3227,0
0,3233,0
0,3254,0
