burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,2000502,12256,12288,0,-1,-1,37,17923,3810,8,0,0,0,Eom
1,2001502,12256,12288,0,-1,-1,42,16069,2877,8,0,0,0,Eom
2,2002502,12256,12288,0,-1,-1,46,14793,2424,8,0,0,0,Eom
3,2003502,12256,12288,0,-1,-1,42,16793,2801,8,0,0,0,Eom
4,2004502,12256,12288,0,-1,-1,40,14977,2819,8,0,0,0,Eom
5,2005502,12256,12288,0,-1,-1,36,17328,4475,8,0,0,0,Eom
6,2006502,12256,12288,0,-1,-1,40,15682,2901,8,0,0,0,Eom
7,2007502,12256,12288,0,-1,-1,37,16611,3314,8,0,0,0,Eom
8,2008502,12256,12288,0,-1,-1,44,16846,3981,8,0,0,0,Eom
9,2009502,12256,12288,0,-1,-1,44,17028,3690,8,0,0,0,Eom
