burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,1000503,24544,24576,0,-1,-1,36,14709,3027,8,0,0,0,Eom
1,1001503,24544,24576,0,-1,-1,39,14153,2472,8,0,0,0,Eom
2,1002503,24544,24576,1,17740,17740,43,15411,4186,8,0,0,0,Eom
3,1003503,24544,24576,0,-1,-1,43,14282,2805,8,0,0,0,Eom
4,1004503,24544,24576,0,-1,-1,32,14447,3310,8,0,0,0,Eom
5,1005503,24544,24576,0,-1,-1,33,12868,2591,8,0,0,0,Eom
6,1006503,24544,24576,0,-1,-1,35,15321,2888,8,0,0,0,Eom
7,1007503,24544,24576,0,-1,-1,39,13928,2591,8,0,0,0,Eom
8,1008503,24544,24576,0,-1,-1,42,14705,3986,8,0,0,0,Eom
9,1009503,24544,24576,0,-1,-1,38,13640,3620,8,0,0,0,Eom
10,1010503,24544,24576,0,-1,-1,48,14178,3156,8,0,0,0,Eom
11,1011503,24544,24576,0,-1,-1,38,15015,3934,8,0,0,0,Eom
12,1012503,24544,24576,0,-1,-1,34,15290,4253,8,0,0,0,Eom
13,1013503,24544,24576,0,-1,-1,31,13313,2068,8,0,0,0,Eom
14,1014503,24544,24576,0,-1,-1,34,12878,2133,8,0,0,0,Eom
15,1015503,24544,24576,0,-1,-1,36,14302,3858,8,0,0,0,Eom
16,1016503,24544,24576,6,6377,6383,34,15339,3889,8,0,0,0,Eom
17,1017503,24544,24576,0,-1,-1,36,14318,3181,8,0,0,0,Eom
18,1018503,24544,24576,0,-1,-1,39,13163,2108,8,0,0,0,Eom
19,1019503,24544,24576,0,-1,-1,37,13996,3503,8,0,0,0,Eom
20,1020503,24544,24576,0,-1,-1,30,14656,2360,8,0,0,0,Eom
21,1021503,24544,24576,0,-1,-1,35,14242,2530,8,0,0,0,Eom
22,1022503,24544,24576,0,-1,-1,33,15495,4360,8,0,0,0,Eom
23,1023503,24544,24576,0,-1,-1,32,14283,3197,8,0,0,0,Eom
24,1024503,24544,24576,0,-1,-1,31,13897,2572,8,0,0,0,Eom
25,1025503,24544,24576,0,-1,-1,34,14555,2412,8,0,0,0,Eom
26,1026503,24544,24576,0,-1,-1,29,12782,2458,8,0,0,0,Eom
27,1027503,24544,24576,0,-1,-1,40,14614,3422,8,0,0,0,Eom
28,1028503,24544,24576,3,11213,11215,38,17837,5975,8,0,0,0,Eom
29,1029503,24544,24576,0,-1,-1,30,15293,2761,8,0,0,0,Eom
30,1030503,24544,24576,0,-1,-1,36,14618,2891,8,0,0,0,Eom
