pass,block,bits,errBits,sumAbsRight,sumAbsWrong
first,0,49152,3321,91868.4,2598.0
final,0,49152,264,3399836.9,290.9
oracle,0,49152,403,2446666.5,481.2
first,1,49152,8363,77844.4,6789.7
final,1,49152,8865,740142.5,22738.6
oracle,1,49152,1377,1108876.6,1615.2
first,2,49152,5085,86054.9,3481.4
final,2,49152,283,2424707.0,397.6
oracle,2,49152,476,1627537.8,628.8
first,3,49152,7298,81077.4,5954.5
final,3,49152,633,2292188.8,690.4
oracle,3,49152,920,1760520.5,1051.7
first,4,49152,11010,75064.8,10912.0
final,4,49152,13474,421575.0,149329.0
oracle,4,49152,1867,1074891.4,2227.5
first,5,49152,10629,76343.4,10482.4
final,5,49152,9748,804103.1,13282.4
oracle,5,49152,1708,1117582.0,2075.3
first,6,49152,8839,79574.6,7707.5
final,6,49152,7559,1039986.9,23341.6
oracle,6,49152,1177,1581168.1,1375.0
first,7,49152,8881,80279.1,8033.3
final,7,49152,8061,906461.3,33020.2
oracle,7,49152,1052,1411405.3,1166.2
first,8,49152,7100,80575.5,6201.2
final,8,49152,423,2177678.7,518.7
oracle,8,49152,753,1536256.4,967.3
first,9,49152,8642,79589.7,7856.2
final,9,49152,333,2312005.7,386.8
oracle,9,49152,576,1449185.8,725.5
first,10,49152,10391,76369.8,11070.5
final,10,49152,11062,629962.6,22441.1
oracle,10,49152,1334,1248418.3,1510.0
