pass,block,bits,errBits,sumAbsRight,sumAbsWrong
first,0,49152,3321,262539.2,3880.6
final,0,49152,264,3417813.0,290.9
oracle,0,49152,403,2446666.5,481.2
first,1,49152,8363,137706.7,7260.6
final,1,49152,10019,715998.2,20344.0
oracle,1,49152,1377,1108876.6,1615.2
first,2,49152,5085,170212.1,5818.0
final,2,49152,283,2410362.0,397.7
oracle,2,49152,476,1627537.8,628.8
first,3,49152,7298,194419.2,6901.8
final,3,49152,633,2301236.4,690.5
oracle,3,49152,920,1760520.5,1051.7
first,4,49152,11010,114268.3,11885.9
final,4,49152,14232,388380.6,126871.2
oracle,4,49152,1867,1074891.4,2227.5
first,5,49152,10629,114901.4,9292.6
final,5,49152,10464,802003.6,12563.5
oracle,5,49152,1708,1117582.0,2075.3
first,6,49152,8839,163452.7,7992.1
final,6,49152,8133,1003206.2,26839.0
oracle,6,49152,1177,1581168.1,1375.0
first,7,49152,8881,138984.1,9589.9
final,7,49152,8162,992562.3,24543.1
oracle,7,49152,1052,1411405.3,1166.2
first,8,49152,7100,148928.5,5154.9
final,8,49152,423,2191648.6,518.7
oracle,8,49152,753,1536256.4,967.3
first,9,49152,8642,149869.8,9189.9
final,9,49152,6270,782373.2,10487.5
oracle,9,49152,576,1449185.8,725.5
first,10,49152,10391,101651.2,11165.2
final,10,49152,11177,594536.2,24064.5
oracle,10,49152,1334,1248418.3,1510.0
