errN b.f   |p0|h->t  |p1|h->t   minPw meanPw  |dp0| rot0 rot1
 189 b10.f17 0.57->0.10 0.40->0.20  0.048 0.210  0.47 0.29 0.15
 182 b10.f18 0.06->0.22 0.18->0.17  0.027 0.042  0.27 2.72 1.09
 158 b8.f55 0.20->0.54 0.95->0.57  0.557 0.668  0.74 3.10 0.33
 157 b5.f33 0.20->0.26 0.47->0.20  0.110 0.163  0.27 1.24 0.38
 137 b0.f03 0.38->0.28 0.33->0.28  0.109 0.150  0.22 0.62 2.12
 134 b6.f19 0.27->0.50 0.66->0.63  0.508 0.554  0.23 0.11 0.39
 134 b6.f07 0.15->0.46 0.77->0.41  0.382 0.455  0.39 0.88 0.22
 129 b10.f28 0.18->0.46 0.67->0.39  0.343 0.385  0.33 0.60 0.38
 129 b4.f46 0.25->0.50 0.34->0.48  0.176 0.280  0.35 0.71 1.32
 127 b7.f01 0.24->0.27 0.07->0.32  0.062 0.098  0.23 0.93 0.79
 127 b6.f40 0.15->0.76 0.62->0.59  0.403 0.606  0.63 0.54 0.17
 127 b4.f36 0.28->0.74 0.67->0.90  0.532 0.897  0.46 0.02 0.31
 122 b4.f29 0.28->0.55 0.55->0.77  0.382 0.620  0.29 0.23 0.27
 118 b4.f51 0.40->0.63 0.66->0.45  0.593 0.598  0.23 0.02 0.10
 116 b3.f11 0.24->0.58 0.42->0.57  0.239 0.406  0.39 0.53 0.72
 116 b1.f55 0.17->0.59 0.60->0.71  0.385 0.579  0.49 0.82 0.43
 114 b3.f10 0.49->0.20 0.68->0.44  0.233 0.399  0.55 1.71 0.40
 112 b10.f20 0.38->0.54 0.28->0.45  0.221 0.335  0.33 0.64 0.69
 107 b8.f05 0.08->0.42 0.71->0.59  0.502 0.509  0.38 0.89 0.06
 107 b7.f19 0.28->0.50 0.62->0.50  0.432 0.451  0.22 0.10 0.21
 107 b4.f45 0.25->0.23 0.60->0.35  0.180 0.281  0.26 1.16 0.84
 105 b5.f13 0.56->0.27 0.68->0.48  0.296 0.455  0.60 1.48 0.82
 104 b6.f63 0.21->0.27 0.63->0.30  0.166 0.284  0.08 0.16 0.14
 102 b10.f19 0.24->0.36 0.18->0.27  0.090 0.145  0.20 0.51 0.75
 101 b4.f02 0.35->0.66 0.96->0.82  1.046 1.078  0.39 0.46 0.04
 100 b1.f05 0.20->0.57 0.68->0.55  0.503 0.549  0.38 0.30 0.03
  99 b10.f48 0.18->0.64 0.82->0.64  0.617 0.675  0.55 0.89 0.72
  98 b7.f31 0.34->0.27 0.23->0.63  0.170 0.281  0.23 0.73 0.10

total raw 11614; in frames minPw<0.1: 779 (7%), 0.1-0.3: 2194 (19%)
frames with rot>1.5rad: 38, carrying 1339 errors (12%)
