burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,2000503,24544,24576,0,-1,-1,26,15014,3216,8,0,0,0,Eom
1,2001503,24544,24576,0,-1,-1,29,13861,3583,8,0,0,0,Eom
2,2002503,24544,24576,0,-1,-1,35,13476,2132,8,0,0,0,Eom
3,2003503,24544,24576,0,-1,-1,34,14905,3469,8,0,0,0,Eom
4,2004503,24544,24576,0,-1,-1,40,12404,2234,8,0,0,0,Eom
5,2005503,24544,24576,0,-1,-1,37,12589,1652,8,0,0,0,Eom
6,2006503,24544,24576,0,-1,-1,30,13687,3888,8,0,0,0,Eom
7,2007503,24544,24576,0,-1,-1,37,14195,3032,8,0,0,0,Eom
8,2008503,24544,24576,0,-1,-1,41,14894,3127,8,0,0,0,Eom
9,2009503,24544,24576,0,-1,-1,49,13337,2330,8,0,0,0,Eom
10,2010503,24544,24576,0,-1,-1,47,15088,3341,8,0,0,0,Eom
11,2011503,24544,24576,0,-1,-1,32,14985,2932,8,0,0,0,Eom
12,2012503,24544,24576,0,-1,-1,35,14122,3462,8,0,0,0,Eom
13,2013503,24544,24576,0,-1,-1,32,13088,2686,8,0,0,0,Eom
14,2014503,24544,24576,0,-1,-1,35,15261,4402,8,0,0,0,Eom
15,2015503,24544,24576,0,-1,-1,33,15901,3922,8,0,0,0,Eom
16,2016503,24544,24576,0,-1,-1,43,13975,2030,8,0,0,0,Eom
17,2017503,24544,24576,0,-1,-1,29,14024,2410,8,0,0,0,Eom
18,2018503,24544,24576,0,-1,-1,35,14218,2881,8,0,0,0,Eom
19,2019503,24544,24576,0,-1,-1,34,14814,4076,8,0,0,0,Eom
20,2020503,24544,24576,0,-1,-1,34,13075,2615,8,0,0,0,Eom
21,2021503,24544,24576,0,-1,-1,30,13814,2200,8,0,0,0,Eom
22,2022503,24544,24576,0,-1,-1,30,13255,2882,8,0,0,0,Eom
23,2023503,24544,24576,0,-1,-1,37,13538,3012,8,0,0,0,Eom
24,2024503,24544,24576,0,-1,-1,31,12801,2138,8,0,0,0,Eom
25,2025503,24544,24576,0,-1,-1,31,14762,2718,8,0,0,0,Eom
26,2026503,24544,24576,0,-1,-1,31,12766,2058,8,0,0,0,Eom
27,2027503,24544,24576,0,-1,-1,34,14299,3196,8,0,0,0,Eom
28,2028503,24544,24576,0,-1,-1,37,13362,2364,8,0,0,0,Eom
29,2029503,24544,24576,0,-1,-1,39,13929,2583,8,0,0,0,Eom
30,2030503,24544,24576,0,-1,-1,37,14469,2270,8,0,0,0,Eom
