pass,block,bits,errBits,sumAbsRight,sumAbsWrong
first,0,49152,3321,91868.4,2598.0
oracle,0,49152,463,2265009.0,545.1
first,1,49152,8363,77844.4,6789.7
oracle,1,49152,1587,938456.3,1903.6
first,2,49152,5085,86054.9,3481.4
oracle,2,49152,582,1468695.6,757.2
first,3,49152,7298,81077.4,5954.5
oracle,3,49152,1117,1535578.4,1269.6
first,4,49152,11010,75064.8,10912.0
oracle,4,49152,1971,994726.1,2336.5
first,5,49152,10629,76343.4,10482.4
oracle,5,49152,1876,1000369.9,2252.2
first,6,49152,8839,79574.6,7707.5
oracle,6,49152,1339,1421809.7,1558.9
first,7,49152,8881,80279.1,8033.3
oracle,7,49152,1121,1272277.2,1266.0
first,8,49152,7100,80575.5,6201.2
oracle,8,49152,854,1403288.0,1111.6
first,9,49152,8642,79589.7,7856.2
oracle,9,49152,688,1249705.2,865.0
first,10,49152,10391,76369.8,11070.5
oracle,10,49152,1459,1106724.2,1694.8
