pass,block,bits,errBits,sumAbsRight,sumAbsWrong
first,0,49152,2977,92520.2,2234.1
oracle,0,49152,1784,1383393.5,2071.2
first,1,49152,9122,77445.1,8101.4
oracle,1,49152,3104,629803.0,3417.9
first,2,49152,4528,86386.8,3146.9
oracle,2,49152,2670,849096.8,3128.0
first,3,49152,6986,81488.9,5586.6
oracle,3,49152,2561,981939.2,2794.3
first,4,49152,10820,74935.5,10557.8
oracle,4,49152,3459,482998.3,3784.4
first,5,49152,10136,76026.3,9760.2
oracle,5,49152,3311,645919.3,3529.4
first,6,49152,8298,79751.8,7064.6
oracle,6,49152,2690,849498.6,3000.7
first,7,49152,8258,81910.5,7255.2
oracle,7,49152,2685,812497.7,2986.2
first,8,49152,6801,81458.3,5755.3
oracle,8,49152,2906,587726.6,3243.5
first,9,49152,8274,79893.1,7442.8
oracle,9,49152,3068,504162.0,3532.0
first,10,49152,10125,77204.9,10809.3
oracle,10,49152,3710,516095.4,4112.3
