pass,block,bits,errBits,sumAbsRight,sumAbsWrong
first,0,49152,3321,91868.4,2598.0
oracle,0,49152,1759,1336983.1,2034.0
first,1,49152,8363,77844.4,6789.7
oracle,1,49152,3086,615179.1,3456.1
first,2,49152,5085,86054.9,3481.4
oracle,2,49152,2616,797511.7,3090.5
first,3,49152,7298,81077.4,5954.5
oracle,3,49152,2557,999199.8,2820.4
first,4,49152,11010,75064.8,10912.0
oracle,4,49152,3465,483429.0,3767.0
first,5,49152,10629,76343.4,10482.4
oracle,5,49152,3307,654897.8,3517.2
first,6,49152,8839,79574.6,7707.5
oracle,6,49152,2667,853065.2,2957.7
first,7,49152,8881,80279.1,8033.3
oracle,7,49152,2640,779696.6,2969.3
first,8,49152,7100,80575.5,6201.2
oracle,8,49152,2905,585388.3,3264.5
first,9,49152,8642,79589.7,7856.2
oracle,9,49152,3122,495778.9,3636.0
first,10,49152,10391,76369.8,11070.5
oracle,10,49152,3662,511994.7,4077.8
