pass,block,bits,errBits,sumAbsRight,sumAbsWrong
first,0,49152,3321,91868.4,2598.0
oracle,0,49152,1647,1403621.8,1949.1
first,1,49152,8363,77844.4,6789.7
oracle,1,49152,2892,650866.0,3317.5
first,2,49152,5085,86054.9,3481.4
oracle,2,49152,2497,842075.5,2937.5
first,3,49152,7298,81077.4,5954.5
oracle,3,49152,2368,1050996.2,2674.7
first,4,49152,11010,75064.8,10912.0
oracle,4,49152,3289,509948.2,3655.0
first,5,49152,10629,76343.4,10482.4
oracle,5,49152,3120,684512.0,3414.1
first,6,49152,8839,79574.6,7707.5
oracle,6,49152,2520,893244.3,2805.5
first,7,49152,8881,80279.1,8033.3
oracle,7,49152,2496,818905.6,2824.4
first,8,49152,7100,80575.5,6201.2
oracle,8,49152,2699,619867.4,3087.7
first,9,49152,8642,79589.7,7856.2
oracle,9,49152,2902,524466.0,3409.2
first,10,49152,10391,76369.8,11070.5
oracle,10,49152,3475,539939.7,3875.9
