pass,block,bits,errBits,sumAbsRight,sumAbsWrong
first,0,49152,3321,91868.4,2598.0
oracle,0,49152,1710,1398926.5,1996.8
first,1,49152,8363,77844.4,6789.7
oracle,1,49152,2989,645365.6,3399.0
first,2,49152,5085,86054.9,3481.4
oracle,2,49152,2605,834639.7,3057.7
first,3,49152,7298,81077.4,5954.5
oracle,3,49152,2509,1044543.1,2780.2
first,4,49152,11010,75064.8,10912.0
oracle,4,49152,3391,504743.2,3731.5
first,5,49152,10629,76343.4,10482.4
oracle,5,49152,3172,681484.6,3448.8
first,6,49152,8839,79574.6,7707.5
oracle,6,49152,2609,887363.9,2900.6
first,7,49152,8881,80279.1,8033.3
oracle,7,49152,2614,813414.4,2900.2
first,8,49152,7100,80575.5,6201.2
oracle,8,49152,2846,610842.8,3228.5
first,9,49152,8642,79589.7,7856.2
oracle,9,49152,3036,516589.4,3568.9
first,10,49152,10391,76369.8,11070.5
oracle,10,49152,3623,533405.4,3977.2
