pass,block,bits,errBits,sumAbsRight,sumAbsWrong
first,0,12288,5,43697.4,0.5
final,0,12288,0,1001993746.7,0.0
first,1,12288,0,48995.3,0.0
final,1,12288,1,599345969.6,1.5
first,2,12288,0,49124.9,0.0
final,2,12288,1,1209355432.5,0.9
first,3,12288,0,49150.4,0.0
final,3,12288,2,684526239.9,1.1
first,4,12288,0,49154.0,0.0
final,4,12288,0,560513998.1,0.0
first,5,12288,0,49155.6,0.0
final,5,12288,0,1596491830.8,0.0
first,6,12288,0,49155.9,0.0
final,6,12288,0,743770093.3,0.0
first,7,12288,0,49155.4,0.0
final,7,12288,0,1283084486.2,0.0
