burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,501,6304,6336,0,-1,-1,0,289,210,0,0,0,11,Eom
1,1501,6304,6336,0,-1,-1,0,266,184,0,0,0,11,Eom
2,2501,6304,6336,0,-1,-1,0,187,137,0,0,0,11,Eom
3,3501,6304,6336,0,-1,-1,0,344,259,0,0,0,11,Eom
4,4501,6304,6336,0,-1,-1,0,151,112,0,0,0,11,Eom
5,5501,6304,6336,0,-1,-1,0,170,121,0,0,0,11,Eom
6,6501,6304,6336,0,-1,-1,0,154,135,0,0,0,11,Eom
7,7501,6304,6336,0,-1,-1,0,169,127,0,0,0,11,Eom
8,8501,6304,6336,0,-1,-1,0,340,245,0,0,0,11,Eom
9,9501,6304,6336,0,-1,-1,0,400,263,0,0,0,11,Eom
10,10501,6304,6336,0,-1,-1,0,104,87,0,0,0,11,Eom
11,11501,6304,6336,0,-1,-1,0,248,212,0,0,0,11,Eom
12,12501,6304,6336,0,-1,-1,0,277,207,0,0,0,11,Eom
13,13501,6304,6336,0,-1,-1,0,129,114,0,0,0,11,Eom
14,14501,6304,6336,0,-1,-1,0,242,179,0,0,0,11,Eom
15,15501,6304,6336,0,-1,-1,0,187,141,0,0,0,11,Eom
16,16501,6304,6336,0,-1,-1,0,382,299,0,0,0,11,Eom
17,17501,6304,6336,0,-1,-1,0,182,144,0,0,0,11,Eom
18,18501,6304,6336,0,-1,-1,0,297,214,0,0,0,11,Eom
19,19501,6304,6336,0,-1,-1,0,196,158,0,0,0,11,Eom
20,20501,6304,6336,0,-1,-1,0,161,113,0,0,0,11,Eom
21,21501,6304,6336,0,-1,-1,0,200,163,0,0,0,11,Eom
22,22501,6304,6336,0,-1,-1,0,298,238,0,0,0,11,Eom
23,23501,6304,6336,0,-1,-1,0,129,103,0,0,0,11,Eom
24,24501,6304,6336,0,-1,-1,0,222,170,0,0,0,11,Eom
25,25501,6304,6336,0,-1,-1,0,247,170,0,0,0,11,Eom
26,26501,6304,6336,0,-1,-1,0,284,211,0,0,0,11,Eom
27,27501,6304,6336,0,-1,-1,0,287,255,0,0,0,11,Eom
28,28501,6304,6336,0,-1,-1,0,385,244,0,0,0,11,Eom
29,29501,6304,6336,0,-1,-1,0,269,225,0,0,0,11,Eom
30,30501,6304,6336,0,-1,-1,0,216,146,0,0,0,11,Eom
31,31501,6304,6336,0,-1,-1,0,302,220,0,0,0,11,Eom
32,32501,6304,6336,0,-1,-1,0,241,179,0,0,0,11,Eom
33,33501,6304,6336,0,-1,-1,0,184,154,0,0,0,11,Eom
34,34501,6304,6336,0,-1,-1,0,265,160,0,0,0,11,Eom
35,35501,6304,6336,0,-1,-1,0,180,124,0,0,0,11,Eom
36,36501,6304,6336,0,-1,-1,0,154,120,0,0,0,11,Eom
37,37501,6304,6336,0,-1,-1,0,222,187,0,0,0,11,Eom
38,38501,6304,6336,0,-1,-1,0,278,219,0,0,0,11,Eom
39,39501,6304,6336,0,-1,-1,0,236,205,0,0,0,11,Eom
40,40501,6304,6336,0,-1,-1,0,229,148,0,0,0,11,Eom
41,41501,6304,6336,0,-1,-1,0,299,166,0,0,0,11,Eom
42,42501,6304,6336,0,-1,-1,0,269,243,0,0,0,11,Eom
43,43501,6304,6336,0,-1,-1,0,117,81,0,0,0,11,Eom
44,44501,6304,6336,0,-1,-1,0,237,188,0,0,0,11,Eom
45,45501,6304,6336,0,-1,-1,0,246,198,0,0,0,11,Eom
46,46501,6304,6336,0,-1,-1,0,228,193,0,0,0,11,Eom
47,47501,6304,6336,0,-1,-1,0,233,177,0,0,0,11,Eom
48,48501,6304,6336,0,-1,-1,0,276,198,0,0,0,11,Eom
49,49501,6304,6336,0,-1,-1,0,317,227,0,0,0,11,Eom
50,50501,6304,6336,0,-1,-1,0,281,221,0,0,0,11,Eom
51,51501,6304,6336,0,-1,-1,0,204,140,0,0,0,11,Eom
52,52501,6304,6336,0,-1,-1,0,236,154,0,0,0,11,Eom
53,53501,6304,6336,0,-1,-1,0,177,128,0,0,0,11,Eom
54,54501,6304,6336,0,-1,-1,0,182,149,0,0,0,11,Eom
55,55501,6304,6336,0,-1,-1,0,231,164,0,0,0,11,Eom
56,56501,6304,6336,0,-1,-1,0,290,173,0,0,0,11,Eom
57,57501,6304,6336,0,-1,-1,0,217,166,0,0,0,11,Eom
58,58501,6304,6336,0,-1,-1,0,155,121,0,0,0,11,Eom
59,59501,6304,6336,0,-1,-1,0,461,340,0,0,0,11,Eom
60,60501,6304,6336,0,-1,-1,0,214,177,0,0,0,11,Eom
61,61501,6304,6336,0,-1,-1,0,298,260,0,0,0,11,Eom
62,62501,6304,6336,0,-1,-1,0,251,200,0,0,0,11,Eom
63,63501,6304,6336,0,-1,-1,0,241,174,0,0,0,11,Eom
64,64501,6304,6336,0,-1,-1,0,262,172,0,0,0,11,Eom
65,65501,6304,6336,0,-1,-1,0,202,130,0,0,0,11,Eom
66,66501,6304,6336,0,-1,-1,0,250,170,0,0,0,11,Eom
67,67501,6304,6336,0,-1,-1,0,289,252,0,0,0,11,Eom
68,68501,6304,6336,0,-1,-1,0,305,232,0,0,0,11,Eom
69,69501,6304,6336,0,-1,-1,0,262,163,0,0,0,11,Eom
70,70501,6304,6336,0,-1,-1,0,199,151,0,0,0,11,Eom
71,71501,6304,6336,0,-1,-1,0,295,249,0,0,0,11,Eom
72,72501,6304,6336,0,-1,-1,0,200,172,0,0,0,11,Eom
73,73501,6304,6336,0,-1,-1,0,170,107,0,0,0,11,Eom
74,74501,6304,6336,0,-1,-1,0,188,120,0,0,0,11,Eom
75,75501,6304,6336,0,-1,-1,0,343,235,0,0,0,11,Eom
76,76501,6304,6336,0,-1,-1,0,161,118,0,0,0,11,Eom
77,77501,6304,6336,0,-1,-1,0,255,212,0,0,0,11,Eom
78,78501,6304,6336,0,-1,-1,0,282,201,0,0,0,11,Eom
79,79501,6304,6336,0,-1,-1,0,194,171,0,0,0,11,Eom
80,80501,6304,6336,0,-1,-1,0,245,207,0,0,0,11,Eom
81,81501,6304,6336,0,-1,-1,0,298,162,0,0,0,11,Eom
82,82501,6304,6336,0,-1,-1,0,245,175,0,0,0,11,Eom
83,83501,6304,6336,0,-1,-1,0,275,214,0,0,0,11,Eom
84,84501,6304,6336,0,-1,-1,0,225,183,0,0,0,11,Eom
85,85501,6304,6336,0,-1,-1,0,201,183,0,0,0,11,Eom
86,86501,6304,6336,0,-1,-1,0,340,257,0,0,0,11,Eom
87,87501,6304,6336,0,-1,-1,0,321,223,0,0,0,11,Eom
88,88501,6304,6336,0,-1,-1,0,207,160,0,0,0,11,Eom
89,89501,6304,6336,0,-1,-1,0,193,158,0,0,0,11,Eom
90,90501,6304,6336,0,-1,-1,0,140,121,0,0,0,11,Eom
91,91501,6304,6336,0,-1,-1,0,218,171,0,0,0,11,Eom
92,92501,6304,6336,0,-1,-1,0,283,187,0,0,0,11,Eom
93,93501,6304,6336,0,-1,-1,0,238,214,0,0,0,11,Eom
94,94501,6304,6336,0,-1,-1,0,221,147,0,0,0,11,Eom
95,95501,6304,6336,0,-1,-1,0,270,199,0,0,0,11,Eom
96,96501,6304,6336,0,-1,-1,0,245,175,0,0,0,11,Eom
97,97501,6304,6336,0,-1,-1,0,169,151,0,0,0,11,Eom
98,98501,6304,6336,0,-1,-1,0,178,147,0,0,0,11,Eom
99,99501,6304,6336,0,-1,-1,0,203,153,0,0,0,11,Eom
100,100501,6304,6336,0,-1,-1,0,308,230,0,0,0,11,Eom
101,101501,6304,6336,0,-1,-1,0,354,286,0,0,0,11,Eom
102,102501,6304,6336,0,-1,-1,0,338,297,0,0,0,11,Eom
103,103501,6304,6336,0,-1,-1,0,218,172,0,0,0,11,Eom
104,104501,6304,6336,0,-1,-1,0,279,225,0,0,0,11,Eom
105,105501,6304,6336,0,-1,-1,0,328,223,0,0,0,11,Eom
106,106501,6304,6336,0,-1,-1,0,153,112,0,0,0,11,Eom
107,107501,6304,6336,0,-1,-1,0,246,185,0,0,0,11,Eom
108,108501,6304,6336,0,-1,-1,0,173,159,0,0,0,11,Eom
109,109501,6304,6336,0,-1,-1,0,263,191,0,0,0,11,Eom
110,110501,6304,6336,0,-1,-1,0,215,142,0,0,0,11,Eom
111,111501,6304,6336,0,-1,-1,0,180,129,0,0,0,11,Eom
112,112501,6304,6336,0,-1,-1,0,228,190,0,0,0,11,Eom
113,113501,6304,6336,0,-1,-1,0,190,104,0,0,0,11,Eom
114,114501,6304,6336,0,-1,-1,0,221,184,0,0,0,11,Eom
115,115501,6304,6336,0,-1,-1,0,205,139,0,0,0,11,Eom
116,116501,6304,6336,0,-1,-1,0,157,119,0,0,0,11,Eom
117,117501,6304,6336,0,-1,-1,0,218,174,0,0,0,11,Eom
118,118501,6304,6336,0,-1,-1,0,206,146,0,0,0,11,Eom
