burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,1000504,53216,53248,0,-1,-1,6,8747,2936,13,0,0,0,Eom
1,1001504,53216,53248,0,-1,-1,11,10038,3140,13,0,0,0,Eom
2,1002504,53216,53248,0,-1,-1,10,11205,4018,13,0,0,0,Eom
3,1003504,53216,53248,0,-1,-1,11,9454,2779,13,0,0,0,Eom
4,1004504,53216,53248,0,-1,-1,9,9860,3613,13,0,0,0,Eom
5,1005504,53216,53248,0,-1,-1,7,9151,2761,13,0,0,0,Eom
6,1006504,53216,53248,0,-1,-1,4,9312,3349,13,0,0,0,Eom
7,1007504,53216,53248,0,-1,-1,13,10043,3898,13,0,0,0,Eom
8,1008504,53216,53248,0,-1,-1,8,9565,3273,13,0,0,0,Eom
9,1009504,53216,53248,0,-1,-1,8,8992,3228,13,0,0,0,Eom
10,1010504,53216,53248,0,-1,-1,5,8399,2570,13,0,0,0,Eom
11,1011504,53216,53248,0,-1,-1,10,9422,3327,13,0,0,0,Eom
12,1012504,53216,53248,0,-1,-1,5,9406,3097,13,0,0,0,Eom
13,1013504,53216,53248,0,-1,-1,13,11532,4044,13,0,0,0,Eom
14,1014504,53216,53248,0,-1,-1,4,9142,2706,13,0,0,0,Eom
