burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,1010504,53216,53248,0,-1,-1,5,8603,2583,13,0,0,0,Eom
1,1011504,53216,53248,0,-1,-1,10,9539,3328,13,0,0,0,Eom
2,1012504,53216,53248,0,-1,-1,4,9498,3161,13,0,0,0,Eom
3,1013504,53216,53248,0,-1,-1,12,11385,4069,13,0,0,0,Eom
4,1014504,53216,53248,0,-1,-1,4,9083,2722,13,0,0,0,Eom
5,1015504,53216,53248,0,-1,-1,4,8063,2511,13,0,0,0,Eom
6,1016504,53216,53248,0,-1,-1,6,11170,4245,13,0,0,0,Eom
7,1017504,53216,53248,0,-1,-1,13,10931,4873,13,0,0,0,Eom
8,1018504,53216,53248,0,-1,-1,6,8450,2613,13,0,0,0,Eom
9,1019504,53216,53248,0,-1,-1,5,9684,3410,13,0,0,0,Eom
10,1020504,53216,53248,0,-1,-1,8,9326,2803,13,0,0,0,Eom
11,1021504,53216,53248,0,-1,-1,6,9740,3513,13,0,0,0,Eom
12,1022504,53216,53248,0,-1,-1,7,9217,3143,13,0,0,0,Eom
13,1023504,53216,53248,0,-1,-1,7,8226,2932,13,0,0,0,Eom
14,1024504,53216,53248,0,-1,-1,10,10600,3726,13,0,0,0,Eom
