mode,channel,layer,rate,frameBytes,snrDb,levelDb,trials,successes,successRate,ciLo,ciHi,fer,codedBer,margin
freedv-datac0,Awgn,Packet,8000,60,6,-60,60,60,1,0.939826,1,0,0,127.967
freedv-datac0,Awgn,Packet,8000,60,6,-40,60,60,1,0.939826,1,0,0,127.967
freedv-datac0,Awgn,Packet,8000,60,6,-20,60,60,1,0.939826,1,0,0,127.967
freedv-datac0,Awgn,Packet,8000,60,6,-10,60,60,1,0.939826,1,0,0,127.967
freedv-datac0,Awgn,Packet,8000,60,6,-6,60,60,1,0.939826,1,0,0,127.967
freedv-datac0,Awgn,Packet,8000,60,6,0,60,60,1,0.939826,1,0,0,127.967
freedv-datac0,Awgn,Packet,8000,60,6,6,60,60,1,0.939826,1,0,0,127.967
freedv-datac0,Awgn,Packet,8000,60,6,12,60,60,1,0.939826,1,0,0,127.95
freedv-datac0,Awgn,Packet,8000,60,6,20,60,60,1,0.939826,1,0,0,127.267
freedv-datac0,Awgn,Packet,8000,60,0,-60,60,59,0.983333,0.911447,0.997052,0.0166667,0,123.9
freedv-datac0,Awgn,Packet,8000,60,0,-40,60,58,0.966667,0.88636,0.990811,0.0333333,0.00014881,123.95
freedv-datac0,Awgn,Packet,8000,60,0,-20,60,58,0.966667,0.88636,0.990811,0.0333333,0.00014881,123.95
freedv-datac0,Awgn,Packet,8000,60,0,-10,60,58,0.966667,0.88636,0.990811,0.0333333,0.00014881,123.95
freedv-datac0,Awgn,Packet,8000,60,0,-6,60,58,0.966667,0.88636,0.990811,0.0333333,0.00014881,123.95
freedv-datac0,Awgn,Packet,8000,60,0,0,60,58,0.966667,0.88636,0.990811,0.0333333,0.00014881,124.033
freedv-datac0,Awgn,Packet,8000,60,0,6,60,55,0.916667,0.819308,0.96388,0.0833333,0.000595238,123.583
freedv-datac0,Awgn,Packet,8000,60,0,12,60,50,0.833333,0.719681,0.906869,0.166667,0.0016369,121.817
freedv-datac0,Awgn,Packet,8000,60,0,20,60,36,0.6,0.473658,0.714307,0.4,0.00610119,116.733
