mode,channel,layer,rate,frameBytes,snrDb,levelDb,trials,successes,successRate,ciLo,ciHi,fer,codedBer,margin
fsk4800-il2p,Awgn,Frame,48000,60,-3,0,100,0,0,0,0.0369948,1,1,0
fsk4800-il2p,Awgn,Frame,48000,60,0,0,100,0,0,0,0.0369948,1,1,0
fsk4800-il2p,Awgn,Frame,48000,60,3,0,100,0,0,0,0.0369948,1,1,0
fsk4800-il2p,Awgn,Frame,48000,60,6,0,100,0,0,0,0.0369948,1,1,0
fsk4800-il2p,Awgn,Frame,48000,60,9,0,100,50,0.5,0.40383,0.59617,0.5,0.5,2.8
fsk4800-il2p,Awgn,Frame,48000,60,12,0,100,96,0.96,0.901628,0.984337,0.04,0.04,0.73
fsk4800-il2p,Awgn,Frame,48000,60,15,0,100,100,1,0.963005,1,0,0,0.09
fsk4800-il2p,Poor,Frame,48000,60,-3,0,100,0,0,0,0.0369948,1,1,0
fsk4800-il2p,Poor,Frame,48000,60,0,0,100,0,0,0,0.0369948,1,1,0
fsk4800-il2p,Poor,Frame,48000,60,3,0,100,0,0,0,0.0369948,1,1,0
fsk4800-il2p,Poor,Frame,48000,60,6,0,100,0,0,0,0.0369948,1,1,0
fsk4800-il2p,Poor,Frame,48000,60,9,0,100,0,0,0,0.0369948,1,1,0
fsk4800-il2p,Poor,Frame,48000,60,12,0,100,0,0,0,0.0369948,1,1,0
fsk4800-il2p,Poor,Frame,48000,60,15,0,100,0,0,0,0.0369948,1,1,0
