burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,1000104,53216,53248,0,-1,-1,0,4373,0,13,0,0,0,Eom
1,1001104,53216,53248,0,-1,-1,0,4337,0,13,0,0,0,Eom
2,1002104,53216,53248,0,-1,-1,0,4227,0,13,0,0,0,Eom
3,1003104,53216,53248,0,-1,-1,0,4451,0,13,0,0,0,Eom
4,1004104,53216,53248,0,-1,-1,0,4384,0,13,0,0,0,Eom
5,1005104,53216,53248,0,-1,-1,0,4343,0,13,0,0,0,Eom
6,1006104,53216,53248,0,-1,-1,0,4322,0,13,0,0,0,Eom
7,1007104,53216,53248,0,-1,-1,0,4394,0,13,0,0,0,Eom
8,1008104,53216,53248,0,-1,-1,0,4390,0,13,0,0,0,Eom
9,1009104,53216,53248,0,-1,-1,0,4517,0,13,0,0,0,Eom
10,1010104,53216,53248,0,-1,-1,0,4432,0,13,0,0,0,Eom
11,1011104,53216,53248,0,-1,-1,0,4559,0,13,0,0,0,Eom
12,1012104,53216,53248,0,-1,-1,0,4484,0,13,0,0,0,Eom
13,1013104,53216,53248,0,-1,-1,0,4431,0,13,0,0,0,Eom
14,1014104,53216,53248,0,-1,-1,0,4496,0,13,0,0,0,Eom
