burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,2000501,6304,6336,0,-1,-1,0,218,137,0,0,0,11,Eom
1,2001501,6304,6336,0,-1,-1,0,288,256,0,0,0,11,Eom
2,2002501,6304,6336,0,-1,-1,0,231,204,0,0,0,11,Eom
3,2003501,6304,6336,0,-1,-1,0,206,157,0,0,0,11,Eom
4,2004501,6304,6336,0,-1,-1,0,268,233,0,0,0,11,Eom
5,2005501,6304,6336,0,-1,-1,0,245,190,0,0,0,11,Eom
6,2006501,6304,6336,0,-1,-1,0,219,165,0,0,0,11,Eom
7,2007501,6304,6336,0,-1,-1,0,201,148,0,0,0,11,Eom
8,2008501,6304,6336,0,-1,-1,0,294,248,0,0,0,11,Eom
9,2009501,6304,6336,0,-1,-1,0,206,136,0,0,0,11,Eom
10,2010501,6304,6336,0,-1,-1,0,149,109,0,0,0,11,Eom
11,2011501,6304,6336,0,-1,-1,0,183,148,0,0,0,11,Eom
12,2012501,6304,6336,0,-1,-1,0,310,228,0,0,0,11,Eom
13,2013501,6304,6336,0,-1,-1,0,235,151,0,0,0,11,Eom
14,2014501,6304,6336,0,-1,-1,0,222,204,0,0,0,11,Eom
15,2015501,6304,6336,0,-1,-1,0,215,178,0,0,0,11,Eom
16,2016501,6304,6336,0,-1,-1,0,174,130,0,0,0,11,Eom
17,2017501,6304,6336,0,-1,-1,0,245,183,0,0,0,11,Eom
18,2018501,6304,6336,0,-1,-1,0,243,198,0,0,0,11,Eom
19,2019501,6304,6336,0,-1,-1,0,180,131,0,0,0,11,Eom
20,2020501,6304,6336,0,-1,-1,0,239,194,0,0,0,11,Eom
21,2021501,6304,6336,0,-1,-1,0,222,160,0,0,0,11,Eom
22,2022501,6304,6336,0,-1,-1,0,312,214,0,0,0,11,Eom
23,2023501,6304,6336,0,-1,-1,0,216,165,0,0,0,11,Eom
24,2024501,6304,6336,0,-1,-1,0,124,98,0,0,0,11,Eom
25,2025501,6304,6336,0,-1,-1,0,322,222,0,0,0,11,Eom
26,2026501,6304,6336,0,-1,-1,0,178,134,0,0,0,11,Eom
27,2027501,6304,6336,0,-1,-1,0,272,221,0,0,0,11,Eom
28,2028501,6304,6336,0,-1,-1,0,189,141,0,0,0,11,Eom
29,2029501,6304,6336,0,-1,-1,0,160,117,0,0,0,11,Eom
30,2030501,6304,6336,0,-1,-1,0,214,179,0,0,0,11,Eom
31,2031501,6304,6336,0,-1,-1,0,180,153,0,0,0,11,Eom
32,2032501,6304,6336,0,-1,-1,0,274,176,0,0,0,11,Eom
33,2033501,6304,6336,0,-1,-1,0,226,172,0,0,0,11,Eom
34,2034501,6304,6336,0,-1,-1,0,229,150,0,0,0,11,Eom
35,2035501,6304,6336,0,-1,-1,0,228,154,0,0,0,11,Eom
36,2036501,6304,6336,0,-1,-1,0,272,199,0,0,0,11,Eom
37,2037501,6304,6336,0,-1,-1,0,231,161,0,0,0,11,Eom
38,2038501,6304,6336,0,-1,-1,0,342,215,0,0,0,11,Eom
39,2039501,6304,6336,0,-1,-1,0,265,150,0,0,0,11,Eom
40,2040501,6304,6336,0,-1,-1,0,181,119,0,0,0,11,Eom
41,2041501,6304,6336,0,-1,-1,0,269,235,0,0,0,11,Eom
42,2042501,6304,6336,0,-1,-1,0,143,107,0,0,0,11,Eom
43,2043501,6304,6336,0,-1,-1,0,260,189,0,0,0,11,Eom
44,2044501,6304,6336,0,-1,-1,0,207,154,0,0,0,11,Eom
45,2045501,6304,6336,0,-1,-1,0,246,201,0,0,0,11,Eom
46,2046501,6304,6336,0,-1,-1,0,265,178,0,0,0,11,Eom
47,2047501,6304,6336,0,-1,-1,0,286,207,0,0,0,11,Eom
48,2048501,6304,6336,0,-1,-1,0,173,137,0,0,0,11,Eom
49,2049501,6304,6336,0,-1,-1,0,246,149,0,0,0,11,Eom
50,2050501,6304,6336,0,-1,-1,0,234,169,0,0,0,11,Eom
51,2051501,6304,6336,0,-1,-1,0,166,133,0,0,0,11,Eom
52,2052501,6304,6336,0,-1,-1,0,178,151,0,0,0,11,Eom
53,2053501,6304,6336,0,-1,-1,0,155,78,0,0,0,11,Eom
54,2054501,6304,6336,0,-1,-1,0,155,130,0,0,0,11,Eom
55,2055501,6304,6336,0,-1,-1,0,359,251,0,0,0,11,Eom
56,2056501,6304,6336,0,-1,-1,0,178,140,0,0,0,11,Eom
57,2057501,6304,6336,0,-1,-1,0,361,292,0,0,0,11,Eom
58,2058501,6304,6336,0,-1,-1,0,205,180,0,0,0,11,Eom
59,2059501,6304,6336,0,-1,-1,0,207,176,0,0,0,11,Eom
60,2060501,6304,6336,0,-1,-1,0,165,124,0,0,0,11,Eom
61,2061501,6304,6336,0,-1,-1,0,190,140,0,0,0,11,Eom
62,2062501,6304,6336,0,-1,-1,0,225,150,0,0,0,11,Eom
63,2063501,6304,6336,0,-1,-1,0,281,205,0,0,0,11,Eom
64,2064501,6304,6336,0,-1,-1,0,150,100,0,0,0,11,Eom
65,2065501,6304,6336,0,-1,-1,0,336,276,0,0,0,11,Eom
66,2066501,6304,6336,0,-1,-1,0,257,196,0,0,0,11,Eom
67,2067501,6304,6336,0,-1,-1,0,106,100,0,0,0,11,Eom
68,2068501,6304,6336,0,-1,-1,0,213,179,0,0,0,11,Eom
69,2069501,6304,6336,0,-1,-1,0,222,176,0,0,0,11,Eom
70,2070501,6304,6336,0,-1,-1,0,220,168,0,0,0,11,Eom
71,2071501,6304,6336,0,-1,-1,0,305,226,0,0,0,11,Eom
72,2072501,6304,6336,0,-1,-1,0,300,211,0,0,0,11,Eom
73,2073501,6304,6336,0,-1,-1,0,318,254,0,0,0,11,Eom
74,2074501,6304,6336,0,-1,-1,0,351,317,0,0,0,11,Eom
75,2075501,6304,6336,0,-1,-1,0,275,178,0,0,0,11,Eom
76,2076501,6304,6336,0,-1,-1,0,212,161,0,0,0,11,Eom
77,2077501,6304,6336,0,-1,-1,0,282,186,0,0,0,11,Eom
78,2078501,6304,6336,0,-1,-1,0,238,209,0,0,0,11,Eom
79,2079501,6304,6336,0,-1,-1,0,241,186,0,0,0,11,Eom
80,2080501,6304,6336,0,-1,-1,0,230,171,0,0,0,11,Eom
81,2081501,6304,6336,0,-1,-1,0,211,168,0,0,0,11,Eom
82,2082501,6304,6336,0,-1,-1,0,199,162,0,0,0,11,Eom
83,2083501,6304,6336,0,-1,-1,0,316,242,0,0,0,11,Eom
84,2084501,6304,6336,0,-1,-1,0,215,175,0,0,0,11,Eom
85,2085501,6304,6336,0,-1,-1,0,297,217,0,0,0,11,Eom
86,2086501,6304,6336,0,-1,-1,0,164,128,0,0,0,11,Eom
87,2087501,6304,6336,0,-1,-1,0,188,139,0,0,0,11,Eom
88,2088501,6304,6336,0,-1,-1,0,147,110,0,0,0,11,Eom
89,2089501,6304,6336,0,-1,-1,0,154,136,0,0,0,11,Eom
90,2090501,6304,6336,0,-1,-1,0,152,128,0,0,0,11,Eom
91,2091501,6304,6336,0,-1,-1,0,269,196,0,0,0,11,Eom
92,2092501,6304,6336,0,-1,-1,0,260,236,0,0,0,11,Eom
93,2093501,6304,6336,0,-1,-1,0,242,177,0,0,0,11,Eom
94,2094501,6304,6336,0,-1,-1,0,282,238,0,0,0,11,Eom
95,2095501,6304,6336,0,-1,-1,0,113,101,0,0,0,11,Eom
96,2096501,6304,6336,0,-1,-1,0,287,189,0,0,0,11,Eom
97,2097501,6304,6336,0,-1,-1,0,302,225,0,0,0,11,Eom
98,2098501,6304,6336,0,-1,-1,0,256,219,0,0,0,11,Eom
99,2099501,6304,6336,0,-1,-1,0,153,117,0,0,0,11,Eom
100,2100501,6304,6336,0,-1,-1,0,231,187,0,0,0,11,Eom
101,2101501,6304,6336,0,-1,-1,0,170,163,0,0,0,11,Eom
102,2102501,6304,6336,0,-1,-1,0,263,223,0,0,0,11,Eom
103,2103501,6304,6336,0,-1,-1,0,155,120,0,0,0,11,Eom
104,2104501,6304,6336,0,-1,-1,0,237,153,0,0,0,11,Eom
105,2105501,6304,6336,0,-1,-1,0,229,183,0,0,0,11,Eom
106,2106501,6304,6336,0,-1,-1,0,213,173,0,0,0,11,Eom
107,2107501,6304,6336,0,-1,-1,0,349,287,0,0,0,11,Eom
108,2108501,6304,6336,0,-1,-1,0,233,181,0,0,0,11,Eom
109,2109501,6304,6336,0,-1,-1,0,268,202,0,0,0,11,Eom
110,2110501,6304,6336,0,-1,-1,0,225,194,0,0,0,11,Eom
111,2111501,6304,6336,0,-1,-1,0,213,146,0,0,0,11,Eom
112,2112501,6304,6336,0,-1,-1,0,284,241,0,0,0,11,Eom
113,2113501,6304,6336,0,-1,-1,0,151,101,0,0,0,11,Eom
114,2114501,6304,6336,0,-1,-1,0,201,162,0,0,0,11,Eom
115,2115501,6304,6336,0,-1,-1,0,277,226,0,0,0,11,Eom
116,2116501,6304,6336,0,-1,-1,0,188,148,0,0,0,11,Eom
117,2117501,6304,6336,0,-1,-1,0,224,143,0,0,0,11,Eom
118,2118501,6304,6336,0,-1,-1,0,291,209,0,0,0,11,Eom
