burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,2010506,135136,135168,0,-1,-1,16,4840,1647,11,0,0,0,Eom
1,2011506,135136,135168,0,-1,-1,15,5945,2295,11,0,0,0,Eom
2,2012506,135136,135168,0,-1,-1,10,5761,2768,11,0,0,0,Eom
3,2013506,135136,135168,0,-1,-1,12,6979,3680,11,0,0,0,Eom
4,2014506,135136,135168,0,-1,-1,12,5913,1918,11,0,0,0,Eom
5,2015506,135136,135168,0,-1,-1,15,6456,2464,11,0,0,0,Eom
6,2016506,135136,135168,0,-1,-1,7,7325,2940,11,0,0,0,Eom
7,2017506,135136,135168,0,-1,-1,17,6387,2834,11,0,0,0,Eom
8,2018506,135136,135168,0,-1,-1,6,6117,2187,11,0,0,0,Eom
9,2019506,135136,135168,0,-1,-1,11,6310,2877,11,0,0,0,Eom
10,2020506,135136,135168,0,-1,-1,12,6069,2285,11,0,0,0,Eom
11,2021506,135136,135168,0,-1,-1,23,7070,3267,11,0,0,0,Eom
