WN8 @ 23 dB baseSeed 508 worker 0 burst 0 (channelSeed 509) MFB-form receiver, window [-5,21)
b0 anatomy: mean|ring|^2=4.37E-002 anchors=65 a0:E=6.46E-002@pk0 a1:E=6.60E-002@pk10 a2:E=5.83E-002@pk10 a3:E=3.33E-002@pk10 lock=8/Long/K7@0.14Hz
anchor-fit residual per block: b0:7.33E-005 b1:8.42E-005 b2:7.01E-005 b3:7.28E-005 b4:7.60E-005 b5:7.45E-005 b6:7.54E-005 b7:7.53E-005 b8:6.63E-005 b9:6.37E-005 b10:8.46E-005
truth-recon residual per block: b0:3.06E-004 b1:3.11E-004 b2:2.98E-004 b3:3.07E-004 b4:3.04E-004 b5:2.96E-004 b6:3.00E-004 b7:3.09E-004 b8:2.99E-004 b9:3.00E-004 b10:3.33E-004
R0 coded errors 257815/540672: b0:23564 b1:23231 b2:23836 b3:22941 b4:23249 b5:23282 b6:23752 b7:23505 b8:23048 b9:23812 b10:23595
R1 coded errors 234396/540672: b0:22371 b1:19936 b2:22675 b3:19077 b4:21707 b5:21265 b6:22563 b7:20338 b8:21321 b9:21507 b10:21636
R2 coded errors 206189/540672: b0:20224 b1:15990 b2:21135 b3:15284 b4:18953 b5:18506 b6:20810 b7:16896 b8:18790 b9:19579 b10:20022
R3 coded errors 183536/540672: b0:19262 b1:11901 b2:20486 b3:12142 b4:17714 b5:16141 b6:19835 b7:13883 b8:17326 b9:17580 b10:17266
R4 coded errors 155392/540672: b0:17297 b1:7030 b2:19264 b3:8625 b4:14776 b5:13895 b6:18578 b7:10045 b8:14441 b9:15975 b10:15466
R5 coded errors 132300/540672: b0:16855 b1:2700 b2:19196 b3:6034 b4:12967 b5:11356 b6:17621 b7:5856 b8:12741 b9:13940 b10:13034
R6 coded errors 109000/540672: b0:14958 b1:623 b2:17928 b3:4017 b4:9775 b5:9464 b6:16421 b7:2862 b8:9527 b9:11962 b10:11463
R7 coded errors 90784/540672: b0:14193 b1:19 b2:17911 b3:2412 b4:7132 b5:6945 b6:15645 b7:905 b8:6769 b9:9827 b10:9026
R8 coded errors 73762/540672: b0:12813 b1:0 b2:17206 b3:1521 b4:4003 b5:4860 b6:14446 b7:94 b8:4203 b9:7464 b10:7152
R9 coded errors 61572/540672: b0:12005 b1:0 b2:16955 b3:877 b4:1768 b5:3011 b6:14109 b7:29 b8:2286 b9:5667 b10:4865
R10 coded errors 48658/540672: b0:9998 b1:0 b2:16311 b3:608 b4:732 b5:1658 b6:12573 b7:0 b8:887 b9:3292 b10:2599
R11 coded errors 41431/540672: b0:9066 b1:0 b2:15847 b3:435 b4:277 b5:760 b6:12163 b7:0 b8:238 b9:1492 b10:1153
R12 coded errors 34931/540672: b0:7531 b1:0 b2:15367 b3:346 b4:46 b5:320 b6:10497 b7:0 b8:28 b9:414 b10:382
R13 coded errors 32388/540672: b0:6380 b1:0 b2:15167 b3:240 b4:0 b5:121 b6:10330 b7:0 b8:0 b9:92 b10:58
R14 coded errors 28773/540672: b0:5235 b1:0 b2:14616 b3:214 b4:0 b5:4 b6:8664 b7:0 b8:0 b9:9 b10:31
R15 coded errors 26900/540672: b0:4114 b1:0 b2:14119 b3:129 b4:0 b5:0 b6:8531 b7:0 b8:0 b9:0 b10:7
R16 coded errors 24053/540672: b0:3167 b1:0 b2:13467 b3:132 b4:0 b5:0 b6:7287 b7:0 b8:0 b9:0 b10:0
R17 coded errors 22195/540672: b0:2180 b1:0 b2:13009 b3:90 b4:0 b5:0 b6:6916 b7:0 b8:0 b9:0 b10:0
R18 coded errors 19879/540672: b0:1570 b1:0 b2:12371 b3:69 b4:0 b5:0 b6:5869 b7:0 b8:0 b9:0 b10:0
R19 coded errors 18667/540672: b0:1041 b1:0 b2:11940 b3:42 b4:0 b5:0 b6:5644 b7:0 b8:0 b9:0 b10:0
R20 coded errors 16703/540672: b0:720 b1:0 b2:11084 b3:36 b4:0 b5:0 b6:4863 b7:0 b8:0 b9:0 b10:0
R21 coded errors 15758/540672: b0:373 b1:0 b2:10743 b3:31 b4:0 b5:0 b6:4611 b7:0 b8:0 b9:0 b10:0
R22 coded errors 14294/540672: b0:294 b1:0 b2:10296 b3:36 b4:0 b5:0 b6:3668 b7:0 b8:0 b9:0 b10:0
R23 coded errors 13544/540672: b0:143 b1:0 b2:9772 b3:31 b4:0 b5:0 b6:3598 b7:0 b8:0 b9:0 b10:0
R24 coded errors 12458/540672: b0:87 b1:0 b2:9371 b3:36 b4:0 b5:0 b6:2964 b7:0 b8:0 b9:0 b10:0
R25 coded errors 11332/540672: b0:18 b1:0 b2:8513 b3:31 b4:0 b5:0 b6:2770 b7:0 b8:0 b9:0 b10:0
R26 coded errors 9972/540672: b0:18 b1:0 b2:7727 b3:36 b4:0 b5:0 b6:2191 b7:0 b8:0 b9:0 b10:0
R27 coded errors 8933/540672: b0:0 b1:0 b2:6834 b3:31 b4:0 b5:0 b6:2068 b7:0 b8:0 b9:0 b10:0
R28 coded errors 8012/540672: b0:0 b1:0 b2:6209 b3:36 b4:0 b5:0 b6:1767 b7:0 b8:0 b9:0 b10:0
R29 coded errors 7015/540672: b0:0 b1:0 b2:5473 b3:31 b4:0 b5:0 b6:1511 b7:0 b8:0 b9:0 b10:0
R30 coded errors 4849/540672: b0:0 b1:0 b2:3873 b3:30 b4:0 b5:0 b6:946 b7:0 b8:0 b9:0 b10:0
R31 coded errors 3920/540672: b0:0 b1:0 b2:3014 b3:25 b4:0 b5:0 b6:881 b7:0 b8:0 b9:0 b10:0
R32 coded errors 2460/540672: b0:0 b1:0 b2:1988 b3:24 b4:0 b5:0 b6:448 b7:0 b8:0 b9:0 b10:0
R33 coded errors 2712/540672: b0:0 b1:0 b2:2195 b3:25 b4:0 b5:0 b6:492 b7:0 b8:0 b9:0 b10:0
R34 coded errors 1929/540672: b0:0 b1:0 b2:1704 b3:24 b4:0 b5:0 b6:201 b7:0 b8:0 b9:0 b10:0
R35 coded errors 2419/540672: b0:0 b1:0 b2:2185 b3:25 b4:0 b5:0 b6:209 b7:0 b8:0 b9:0 b10:0
R36 coded errors 1914/540672: b0:0 b1:0 b2:1785 b3:24 b4:0 b5:0 b6:105 b7:0 b8:0 b9:0 b10:0
R37 coded errors 2339/540672: b0:0 b1:0 b2:2198 b3:25 b4:0 b5:0 b6:116 b7:0 b8:0 b9:0 b10:0
R38 coded errors 2238/540672: b0:0 b1:0 b2:2160 b3:24 b4:0 b5:0 b6:54 b7:0 b8:0 b9:0 b10:0
R39 coded errors 2381/540672: b0:0 b1:0 b2:2295 b3:25 b4:0 b5:0 b6:61 b7:0 b8:0 b9:0 b10:0
R40 coded errors 2448/540672: b0:0 b1:0 b2:2383 b3:24 b4:0 b5:0 b6:41 b7:0 b8:0 b9:0 b10:0
R41 coded errors 2527/540672: b0:0 b1:0 b2:2449 b3:25 b4:0 b5:0 b6:53 b7:0 b8:0 b9:0 b10:0
R42 coded errors 2093/540672: b0:0 b1:0 b2:2046 b3:24 b4:0 b5:0 b6:23 b7:0 b8:0 b9:0 b10:0
R43 coded errors 1983/540672: b0:0 b1:0 b2:1935 b3:25 b4:0 b5:0 b6:23 b7:0 b8:0 b9:0 b10:0
R44 coded errors 1643/540672: b0:0 b1:0 b2:1619 b3:24 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R45 coded errors 1736/540672: b0:0 b1:0 b2:1711 b3:25 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R46 coded errors 1430/540672: b0:0 b1:0 b2:1406 b3:24 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R47 coded errors 1821/540672: b0:0 b1:0 b2:1796 b3:25 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R48 coded errors 1483/540672: b0:0 b1:0 b2:1459 b3:24 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R49 coded errors 1807/540672: b0:0 b1:0 b2:1782 b3:25 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R50 coded errors 1644/540672: b0:0 b1:0 b2:1620 b3:24 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R51 coded errors 1928/540672: b0:0 b1:0 b2:1903 b3:25 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R52 coded errors 1664/540672: b0:0 b1:0 b2:1640 b3:24 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R53 coded errors 1972/540672: b0:0 b1:0 b2:1947 b3:25 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R54 coded errors 1794/540672: b0:0 b1:0 b2:1770 b3:24 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R55 coded errors 2149/540672: b0:0 b1:0 b2:2124 b3:25 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R56 coded errors 2004/540672: b0:0 b1:0 b2:1980 b3:24 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R57 coded errors 2128/540672: b0:0 b1:0 b2:2103 b3:25 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R58 coded errors 2076/540672: b0:0 b1:0 b2:2052 b3:24 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R59 coded errors 2198/540672: b0:0 b1:0 b2:2173 b3:25 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R60 coded errors 2199/540672: b0:0 b1:0 b2:2175 b3:24 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
