WN8 @ 23 dB baseSeed 508 worker 0 burst 0 (channelSeed 509) MFB-form receiver, window [-5,21)
b0 anatomy: mean|ring|^2=4.37E-002 anchors=65 a0:E=6.46E-002@pk0 a1:E=6.60E-002@pk10 a2:E=5.83E-002@pk10 a3:E=3.33E-002@pk10 lock=8/Long/K7@0.14Hz
anchor-fit residual per block: b0:7.33E-005 b1:8.42E-005 b2:7.01E-005 b3:7.28E-005 b4:7.60E-005 b5:7.45E-005 b6:7.54E-005 b7:7.53E-005 b8:6.63E-005 b9:6.37E-005 b10:8.46E-005
truth-recon residual per block: b0:3.06E-004 b1:3.11E-004 b2:2.98E-004 b3:3.07E-004 b4:3.04E-004 b5:2.96E-004 b6:3.00E-004 b7:3.09E-004 b8:2.99E-004 b9:3.00E-004 b10:3.33E-004
R0 coded errors 257815/540672: b0:23564 b1:23231 b2:23836 b3:22941 b4:23249 b5:23282 b6:23752 b7:23505 b8:23048 b9:23812 b10:23595
R1 coded errors 219815/540672: b0:21281 b1:17951 b2:21507 b3:17338 b4:20867 b5:19393 b6:21277 b7:19015 b8:19853 b9:20504 b10:20829
R2 coded errors 171949/540672: b0:17564 b1:11297 b2:18839 b3:12429 b4:14984 b5:15157 b6:19325 b7:13174 b8:15580 b9:16409 b10:17191
R3 coded errors 125111/540672: b0:14432 b1:4853 b2:17464 b3:7381 b4:10458 b5:10605 b6:16019 b7:7297 b8:11315 b9:12416 b10:12871
R4 coded errors 88147/540672: b0:11783 b1:931 b2:15238 b3:4376 b4:5325 b5:7758 b6:14474 b7:2902 b8:7162 b9:9032 b10:9166
R5 coded errors 63308/540672: b0:9887 b1:199 b2:14393 b3:2776 b4:2127 b5:4669 b6:12841 b7:646 b8:3889 b9:5925 b10:5956
R6 coded errors 44641/540672: b0:7394 b1:9 b2:13080 b3:1606 b4:642 b5:2610 b6:11539 b7:143 b8:1668 b9:2863 b10:3087
R7 coded errors 34209/540672: b0:6396 b1:0 b2:12233 b3:955 b4:139 b5:1135 b6:10661 b7:22 b8:404 b9:1227 b10:1037
R8 coded errors 27130/540672: b0:4337 b1:0 b2:11397 b3:588 b4:19 b5:445 b6:9425 b7:0 b8:135 b9:392 b10:392
R9 coded errors 23847/540672: b0:3401 b1:0 b2:10759 b3:396 b4:28 b5:113 b6:8870 b7:0 b8:47 b9:70 b10:163
R10 coded errors 20091/540672: b0:2220 b1:0 b2:9658 b3:261 b4:0 b5:16 b6:7796 b7:0 b8:23 b9:11 b10:106
R11 coded errors 18012/540672: b0:1325 b1:0 b2:9055 b3:189 b4:0 b5:0 b6:7399 b7:0 b8:0 b9:10 b10:34
R12 coded errors 14559/540672: b0:733 b1:0 b2:7635 b3:122 b4:0 b5:0 b6:6062 b7:0 b8:0 b9:7 b10:0
R13 coded errors 13248/540672: b0:551 b1:0 b2:6764 b3:97 b4:0 b5:0 b6:5833 b7:0 b8:0 b9:3 b10:0
R14 coded errors 10682/540672: b0:362 b1:0 b2:5491 b3:81 b4:0 b5:0 b6:4745 b7:0 b8:0 b9:3 b10:0
R15 coded errors 9891/540672: b0:259 b1:0 b2:4855 b3:79 b4:0 b5:0 b6:4698 b7:0 b8:0 b9:0 b10:0
R16 coded errors 8074/540672: b0:140 b1:0 b2:4164 b3:74 b4:0 b5:0 b6:3696 b7:0 b8:0 b9:0 b10:0
R17 coded errors 7537/540672: b0:17 b1:0 b2:3791 b3:87 b4:0 b5:0 b6:3642 b7:0 b8:0 b9:0 b10:0
R18 coded errors 6397/540672: b0:53 b1:0 b2:3530 b3:74 b4:0 b5:0 b6:2740 b7:0 b8:0 b9:0 b10:0
R19 coded errors 5960/540672: b0:0 b1:0 b2:3195 b3:87 b4:0 b5:0 b6:2678 b7:0 b8:0 b9:0 b10:0
R20 coded errors 4881/540672: b0:0 b1:0 b2:2885 b3:74 b4:0 b5:0 b6:1922 b7:0 b8:0 b9:0 b10:0
R21 coded errors 4608/540672: b0:0 b1:0 b2:2643 b3:87 b4:0 b5:0 b6:1878 b7:0 b8:0 b9:0 b10:0
R22 coded errors 3921/540672: b0:0 b1:0 b2:2307 b3:74 b4:0 b5:0 b6:1540 b7:0 b8:0 b9:0 b10:0
R23 coded errors 3528/540672: b0:0 b1:0 b2:2030 b3:87 b4:0 b5:0 b6:1411 b7:0 b8:0 b9:0 b10:0
R24 coded errors 2903/540672: b0:0 b1:0 b2:1605 b3:74 b4:0 b5:0 b6:1224 b7:0 b8:0 b9:0 b10:0
R25 coded errors 2513/540672: b0:0 b1:0 b2:1348 b3:87 b4:0 b5:0 b6:1078 b7:0 b8:0 b9:0 b10:0
R26 coded errors 2112/540672: b0:0 b1:0 b2:1086 b3:74 b4:0 b5:0 b6:952 b7:0 b8:0 b9:0 b10:0
R27 coded errors 1523/540672: b0:0 b1:0 b2:664 b3:87 b4:0 b5:0 b6:772 b7:0 b8:0 b9:0 b10:0
R28 coded errors 1094/540672: b0:0 b1:0 b2:421 b3:74 b4:0 b5:0 b6:599 b7:0 b8:0 b9:0 b10:0
R29 coded errors 836/540672: b0:0 b1:0 b2:256 b3:87 b4:0 b5:0 b6:493 b7:0 b8:0 b9:0 b10:0
R30 coded errors 499/540672: b0:0 b1:0 b2:115 b3:40 b4:0 b5:0 b6:344 b7:0 b8:0 b9:0 b10:0
R31 coded errors 385/540672: b0:0 b1:0 b2:73 b3:55 b4:0 b5:0 b6:257 b7:0 b8:0 b9:0 b10:0
R32 coded errors 166/540672: b0:0 b1:0 b2:6 b3:26 b4:0 b5:0 b6:134 b7:0 b8:0 b9:0 b10:0
R33 coded errors 127/540672: b0:0 b1:0 b2:0 b3:36 b4:0 b5:0 b6:91 b7:0 b8:0 b9:0 b10:0
R34 coded errors 101/540672: b0:0 b1:0 b2:0 b3:18 b4:0 b5:0 b6:83 b7:0 b8:0 b9:0 b10:0
R35 coded errors 110/540672: b0:0 b1:0 b2:0 b3:35 b4:0 b5:0 b6:75 b7:0 b8:0 b9:0 b10:0
R36 coded errors 87/540672: b0:0 b1:0 b2:0 b3:18 b4:0 b5:0 b6:69 b7:0 b8:0 b9:0 b10:0
R37 coded errors 106/540672: b0:0 b1:0 b2:0 b3:35 b4:0 b5:0 b6:71 b7:0 b8:0 b9:0 b10:0
R38 coded errors 78/540672: b0:0 b1:0 b2:0 b3:18 b4:0 b5:0 b6:60 b7:0 b8:0 b9:0 b10:0
R39 coded errors 112/540672: b0:0 b1:0 b2:0 b3:35 b4:0 b5:0 b6:77 b7:0 b8:0 b9:0 b10:0
R40 coded errors 78/540672: b0:0 b1:0 b2:0 b3:18 b4:0 b5:0 b6:60 b7:0 b8:0 b9:0 b10:0
R41 coded errors 112/540672: b0:0 b1:0 b2:0 b3:35 b4:0 b5:0 b6:77 b7:0 b8:0 b9:0 b10:0
R42 coded errors 78/540672: b0:0 b1:0 b2:0 b3:18 b4:0 b5:0 b6:60 b7:0 b8:0 b9:0 b10:0
R43 coded errors 112/540672: b0:0 b1:0 b2:0 b3:35 b4:0 b5:0 b6:77 b7:0 b8:0 b9:0 b10:0
R44 coded errors 78/540672: b0:0 b1:0 b2:0 b3:18 b4:0 b5:0 b6:60 b7:0 b8:0 b9:0 b10:0
R45 coded errors 112/540672: b0:0 b1:0 b2:0 b3:35 b4:0 b5:0 b6:77 b7:0 b8:0 b9:0 b10:0
R46 coded errors 78/540672: b0:0 b1:0 b2:0 b3:18 b4:0 b5:0 b6:60 b7:0 b8:0 b9:0 b10:0
R47 coded errors 112/540672: b0:0 b1:0 b2:0 b3:35 b4:0 b5:0 b6:77 b7:0 b8:0 b9:0 b10:0
R48 coded errors 78/540672: b0:0 b1:0 b2:0 b3:18 b4:0 b5:0 b6:60 b7:0 b8:0 b9:0 b10:0
R49 coded errors 112/540672: b0:0 b1:0 b2:0 b3:35 b4:0 b5:0 b6:77 b7:0 b8:0 b9:0 b10:0
R50 coded errors 78/540672: b0:0 b1:0 b2:0 b3:18 b4:0 b5:0 b6:60 b7:0 b8:0 b9:0 b10:0
R51 coded errors 112/540672: b0:0 b1:0 b2:0 b3:35 b4:0 b5:0 b6:77 b7:0 b8:0 b9:0 b10:0
R52 coded errors 78/540672: b0:0 b1:0 b2:0 b3:18 b4:0 b5:0 b6:60 b7:0 b8:0 b9:0 b10:0
R53 coded errors 112/540672: b0:0 b1:0 b2:0 b3:35 b4:0 b5:0 b6:77 b7:0 b8:0 b9:0 b10:0
R54 coded errors 78/540672: b0:0 b1:0 b2:0 b3:18 b4:0 b5:0 b6:60 b7:0 b8:0 b9:0 b10:0
R55 coded errors 112/540672: b0:0 b1:0 b2:0 b3:35 b4:0 b5:0 b6:77 b7:0 b8:0 b9:0 b10:0
R56 coded errors 78/540672: b0:0 b1:0 b2:0 b3:18 b4:0 b5:0 b6:60 b7:0 b8:0 b9:0 b10:0
R57 coded errors 112/540672: b0:0 b1:0 b2:0 b3:35 b4:0 b5:0 b6:77 b7:0 b8:0 b9:0 b10:0
R58 coded errors 78/540672: b0:0 b1:0 b2:0 b3:18 b4:0 b5:0 b6:60 b7:0 b8:0 b9:0 b10:0
R59 coded errors 112/540672: b0:0 b1:0 b2:0 b3:35 b4:0 b5:0 b6:77 b7:0 b8:0 b9:0 b10:0
R60 coded errors 78/540672: b0:0 b1:0 b2:0 b3:18 b4:0 b5:0 b6:60 b7:0 b8:0 b9:0 b10:0
