burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,502,12256,12288,0,-1,-1,42,16273,3253,8,0,0,0,Eom
1,1502,12256,12288,0,-1,-1,36,16699,3451,8,0,0,0,Eom
2,2502,12256,12288,0,-1,-1,43,16529,4364,8,0,0,0,Eom
3,3502,12256,12288,0,-1,-1,39,15711,2897,8,0,0,0,Eom
4,4502,12256,12288,0,-1,-1,42,16644,3432,8,0,0,0,Eom
5,5502,12256,12288,0,-1,-1,39,15866,2175,8,0,0,0,Eom
6,6502,12256,12288,0,-1,-1,47,15750,2891,8,0,0,0,Eom
7,7502,12256,12288,0,-1,-1,39,15952,2883,8,0,0,0,Eom
8,8502,12256,12288,0,-1,-1,39,17736,3210,8,0,0,0,Eom
9,9502,12256,12288,0,-1,-1,36,15530,3550,8,0,0,0,Eom
10,10502,12256,12288,0,-1,-1,37,16212,2572,8,0,0,0,Eom
11,11502,12256,12288,0,-1,-1,46,16592,3436,8,0,0,0,Eom
12,12502,12256,12288,0,-1,-1,39,16121,2932,8,0,0,0,Eom
13,13502,12256,12288,0,-1,-1,39,16460,3459,8,0,0,0,Eom
14,14502,12256,12288,0,-1,-1,40,15786,3514,8,0,0,0,Eom
15,15502,12256,12288,0,-1,-1,42,15910,2758,8,0,0,0,Eom
16,16502,12256,12288,0,-1,-1,37,16346,2968,8,0,0,0,Eom
17,17502,12256,12288,0,-1,-1,40,15271,2286,8,0,0,0,Eom
18,18502,12256,12288,0,-1,-1,47,17264,3779,8,0,0,0,Eom
19,19502,12256,12288,0,-1,-1,34,15981,2793,8,0,0,0,Eom
20,20502,12256,12288,0,-1,-1,49,17365,3613,8,0,0,0,Eom
21,21502,12256,12288,0,-1,-1,36,16724,3899,8,0,0,0,Eom
22,22502,12256,12288,0,-1,-1,34,15352,2252,8,0,0,0,Eom
23,23502,12256,12288,0,-1,-1,39,14829,3118,8,0,0,0,Eom
24,24502,12256,12288,0,-1,-1,39,18316,3596,8,0,0,0,Eom
25,25502,12256,12288,0,-1,-1,39,16853,3953,8,0,0,0,Eom
26,26502,12256,12288,0,-1,-1,42,16372,2738,8,0,0,0,Eom
27,27502,12256,12288,0,-1,-1,42,16671,3435,8,0,0,0,Eom
28,28502,12256,12288,0,-1,-1,37,15071,2888,8,0,0,0,Eom
29,29502,12256,12288,0,-1,-1,41,17005,2932,8,0,0,0,Eom
30,30502,12256,12288,0,-1,-1,51,17065,3751,8,0,0,0,Eom
31,31502,12256,12288,0,-1,-1,44,17572,4070,8,0,0,0,Eom
32,32502,12256,12288,0,-1,-1,46,16783,3602,8,0,0,0,Eom
33,33502,12256,12288,0,-1,-1,39,17402,3813,8,0,0,0,Eom
34,34502,12256,12288,0,-1,-1,39,15546,3297,8,0,0,0,Eom
35,35502,12256,12288,0,-1,-1,37,16436,4224,8,0,0,0,Eom
36,36502,12256,12288,0,-1,-1,50,16606,3375,8,0,0,0,Eom
37,37502,12256,12288,0,-1,-1,51,17440,3779,8,0,0,0,Eom
38,38502,12256,12288,0,-1,-1,43,17108,4143,8,0,0,0,Eom
39,39502,12256,12288,0,-1,-1,42,16734,3180,8,0,0,0,Eom
40,40502,12256,12288,0,-1,-1,43,16556,3864,8,0,0,0,Eom
41,41502,12256,12288,0,-1,-1,38,17463,4336,8,0,0,0,Eom
42,42502,12256,12288,0,-1,-1,40,15324,2351,8,0,0,0,Eom
43,43502,12256,12288,0,-1,-1,41,16110,3336,8,0,0,0,Eom
44,44502,12256,12288,0,-1,-1,36,16627,3494,8,0,0,0,Eom
45,45502,12256,12288,0,-1,-1,37,17502,4108,8,0,0,0,Eom
46,46502,12256,12288,0,-1,-1,46,15544,2165,8,0,0,0,Eom
47,47502,12256,12288,0,-1,-1,39,14184,2421,8,0,0,0,Eom
48,48502,12256,12288,0,-1,-1,46,16408,3016,8,0,0,0,Eom
49,49502,12256,12288,0,-1,-1,42,16030,2345,8,0,0,0,Eom
50,50502,12256,12288,0,-1,-1,37,16803,3567,8,0,0,0,Eom
51,51502,12256,12288,0,-1,-1,35,16867,3297,8,0,0,0,Eom
52,52502,12256,12288,0,-1,-1,39,15795,3103,8,0,0,0,Eom
53,53502,12256,12288,0,-1,-1,39,14697,2327,8,0,0,0,Eom
54,54502,12256,12288,0,-1,-1,36,15042,2232,8,0,0,0,Eom
55,55502,12256,12288,0,-1,-1,43,16542,3904,8,0,0,0,Eom
56,56502,12256,12288,0,-1,-1,43,17223,3425,8,0,0,0,Eom
57,57502,12256,12288,0,-1,-1,40,16307,3730,8,0,0,0,Eom
58,58502,12256,12288,0,-1,-1,34,15974,3696,8,0,0,0,Eom
59,59502,12256,12288,0,-1,-1,40,15187,2601,8,0,0,0,Eom
60,60502,12256,12288,0,-1,-1,40,16959,2659,8,0,0,0,Eom
61,61502,12256,12288,0,-1,-1,38,16175,3104,8,0,0,0,Eom
