burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,3010506,135136,135168,0,-1,-1,13,8084,4491,11,0,0,0,Eom
1,3011506,135136,135168,0,-1,-1,13,7406,4192,11,0,0,0,Eom
2,3012506,135136,135168,0,-1,-1,16,6907,2957,11,0,0,0,Eom
3,3013506,135136,135168,0,-1,-1,11,7034,3403,11,0,0,0,Eom
4,3014506,135136,135168,0,-1,-1,17,6067,2070,11,0,0,0,Eom
5,3015506,135136,135168,0,-1,-1,12,6315,2877,11,0,0,0,Eom
6,3016506,135136,135168,0,-1,-1,11,4918,1910,11,0,0,0,Eom
7,3017506,135136,135168,0,-1,-1,13,6852,3448,11,0,0,0,Eom
8,3018506,135136,135168,0,-1,-1,7,6775,2931,11,0,0,0,Eom
9,3019506,135136,135168,0,-1,-1,17,5623,2607,11,0,0,0,Eom
10,3020506,135136,135168,0,-1,-1,14,7492,3235,11,0,0,0,Eom
11,3021506,135136,135168,0,-1,-1,13,6159,3602,11,0,0,0,Eom
