WN7 @ 19 dB baseSeed 507 worker 0 burst 0 (channelSeed 508) MFB-form receiver, window [-6,20)
b0 anatomy: mean|ring|^2=7.91E-002 anchors=65 a0:E=1.11E-001@pk10 a1:E=8.38E-002@pk10 a2:E=4.03E-002@pk10 a3:E=1.19E-002@pk0 lock=//K@Hz
selection (own vs candidate, by MFB residual): b0: own 0@6.465E-004 cand 0@6.465E-004 -> own = 0 | b1: own 15@6.706E-004 cand 0@6.401E-004 -> cand = 0 | b2: own 0@6.431E-004 cand 0@6.431E-004 -> own = 0 | b3: own 0@6.500E-004 cand 0@6.500E-004 -> own = 0 | b4: own 0@6.331E-004 cand 0@6.331E-004 -> own = 0 | b5: own 0@6.359E-004 cand 0@6.359E-004 -> own = 0 | b6: own 0@6.334E-004 cand 0@6.334E-004 -> own = 0 | b7: own 0@6.296E-004 cand 0@6.296E-004 -> own = 0 | b8: own 0@6.441E-004 cand 0@6.441E-004 -> own = 0 | b9: own 0@6.409E-004 cand 0@6.409E-004 -> own = 0 | b10: own 0@6.391E-004 cand 0@6.391E-004 -> own = 0
anchor-fit residual per block: b0:2.11E-004 b1:1.99E-004 b2:2.28E-004 b3:2.17E-004 b4:1.98E-004 b5:2.29E-004 b6:2.03E-004 b7:2.17E-004 b8:2.08E-004 b9:1.99E-004 b10:2.13E-004
truth-recon residual per block: b0:9.53E-004 b1:9.64E-004 b2:9.28E-004 b3:9.88E-004 b4:9.04E-004 b5:9.44E-004 b6:9.43E-004 b7:9.01E-004 b8:9.37E-004 b9:9.33E-004 b10:9.36E-004
R0 coded errors 182563/405504: b0:16326 b1:16823 b2:16834 b3:15838 b4:16694 b5:16699 b6:16306 b7:15894 b8:17364 b9:16694 b10:17091
R1 coded errors 61889/405504: b0:4614 b1:7606 b2:7041 b3:2587 b4:6612 b5:5181 b6:4226 b7:5540 b8:6115 b9:5793 b10:6574
R2 coded errors 9412/405504: b0:740 b1:2268 b2:1061 b3:156 b4:1096 b5:427 b6:249 b7:1122 b8:747 b9:541 b10:1005
R3 coded errors 914/405504: b0:6 b1:600 b2:92 b3:0 b4:96 b5:14 b6:0 b7:77 b8:11 b9:0 b10:18
R4 coded errors 219/405504: b0:0 b1:152 b2:50 b3:0 b4:0 b5:0 b6:0 b7:17 b8:0 b9:0 b10:0
R5 coded errors 178/405504: b0:0 b1:178 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R6 coded errors 99/405504: b0:0 b1:99 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R7 coded errors 99/405504: b0:0 b1:99 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R8 coded errors 38/405504: b0:0 b1:38 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R9 coded errors 21/405504: b0:0 b1:21 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R10 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R11 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R12 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R13 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R14 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R15 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R16 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R17 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R18 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R19 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R20 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R21 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R22 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R23 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R24 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R25 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R26 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R27 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R28 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R29 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R30 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R31 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R32 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R33 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R34 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R35 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R36 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R37 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R38 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R39 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R40 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R41 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R42 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R43 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R44 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R45 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R46 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R47 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R48 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R49 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R50 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R51 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R52 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R53 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R54 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R55 coded errors 9/405504: b0:0 b1:9 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R56 coded errors 15/405504: b0:0 b1:15 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
