burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,2010501,6304,6336,0,-1,-1,0,211,133,0,0,0,11,Eom
1,2011501,6304,6336,0,-1,-1,0,197,165,0,0,0,11,Eom
2,2012501,6304,6336,0,-1,-1,0,338,266,0,0,0,11,Eom
3,2013501,6304,6336,0,-1,-1,0,270,146,0,0,0,11,Eom
4,2014501,6304,6336,0,-1,-1,0,220,179,0,0,0,11,Eom
5,2015501,6304,6336,0,-1,-1,0,247,188,0,0,0,11,Eom
6,2016501,6304,6336,0,-1,-1,0,144,122,0,0,0,11,Eom
7,2017501,6304,6336,0,-1,-1,0,260,208,0,0,0,11,Eom
8,2018501,6304,6336,0,-1,-1,0,239,198,0,0,0,11,Eom
9,2019501,6304,6336,0,-1,-1,0,244,125,0,0,0,11,Eom
10,2020501,6304,6336,0,-1,-1,0,174,143,0,0,0,11,Eom
11,2021501,6304,6336,0,-1,-1,0,264,230,0,0,0,11,Eom
12,2022501,6304,6336,0,-1,-1,0,236,187,0,0,0,11,Eom
13,2023501,6304,6336,0,-1,-1,0,289,159,0,0,0,11,Eom
14,2024501,6304,6336,0,-1,-1,0,153,118,0,0,0,11,Eom
15,2025501,6304,6336,0,-1,-1,0,288,210,0,0,0,11,Eom
16,2026501,6304,6336,0,-1,-1,0,134,112,0,0,0,11,Eom
17,2027501,6304,6336,0,-1,-1,0,289,227,0,0,0,11,Eom
18,2028501,6304,6336,0,-1,-1,0,214,167,0,0,0,11,Eom
19,2029501,6304,6336,0,-1,-1,0,169,105,0,0,0,11,Eom
20,2030501,6304,6336,0,-1,-1,0,218,177,0,0,0,11,Eom
21,2031501,6304,6336,0,-1,-1,0,248,189,0,0,0,11,Eom
22,2032501,6304,6336,0,-1,-1,0,241,183,0,0,0,11,Eom
23,2033501,6304,6336,0,-1,-1,0,211,178,0,0,0,11,Eom
24,2034501,6304,6336,0,-1,-1,0,215,153,0,0,0,11,Eom
25,2035501,6304,6336,0,-1,-1,0,174,143,0,0,0,11,Eom
26,2036501,6304,6336,0,-1,-1,0,226,145,0,0,0,11,Eom
27,2037501,6304,6336,0,-1,-1,0,222,160,0,0,0,11,Eom
28,2038501,6304,6336,0,-1,-1,0,349,261,0,0,0,11,Eom
29,2039501,6304,6336,0,-1,-1,0,261,189,0,0,0,11,Eom
30,2040501,6304,6336,0,-1,-1,0,132,97,0,0,0,11,Eom
31,2041501,6304,6336,0,-1,-1,0,305,240,0,0,0,11,Eom
32,2042501,6304,6336,0,-1,-1,0,111,97,0,0,0,11,Eom
33,2043501,6304,6336,0,-1,-1,0,243,175,0,0,0,11,Eom
34,2044501,6304,6336,0,-1,-1,0,247,153,0,0,0,11,Eom
35,2045501,6304,6336,0,-1,-1,0,248,199,0,0,0,11,Eom
36,2046501,6304,6336,0,-1,-1,0,347,192,0,0,0,11,Eom
37,2047501,6304,6336,0,-1,-1,0,256,195,0,0,0,11,Eom
38,2048501,6304,6336,0,-1,-1,0,193,177,0,0,0,11,Eom
39,2049501,6304,6336,0,-1,-1,0,291,177,0,0,0,11,Eom
40,2050501,6304,6336,0,-1,-1,0,219,176,0,0,0,11,Eom
41,2051501,6304,6336,0,-1,-1,0,134,99,0,0,0,11,Eom
42,2052501,6304,6336,0,-1,-1,0,174,131,0,0,0,11,Eom
43,2053501,6304,6336,0,-1,-1,0,150,80,0,0,0,11,Eom
44,2054501,6304,6336,0,-1,-1,0,188,142,0,0,0,11,Eom
45,2055501,6304,6336,0,-1,-1,0,352,208,0,0,0,11,Eom
46,2056501,6304,6336,0,-1,-1,0,200,165,0,0,0,11,Eom
47,2057501,6304,6336,0,-1,-1,0,355,288,0,0,0,11,Eom
48,2058501,6304,6336,0,-1,-1,0,207,169,0,0,0,11,Eom
49,2059501,6304,6336,0,-1,-1,0,260,186,0,0,0,11,Eom
50,2060501,6304,6336,0,-1,-1,0,198,134,0,0,0,11,Eom
51,2061501,6304,6336,0,-1,-1,0,158,126,0,0,0,11,Eom
52,2062501,6304,6336,0,-1,-1,0,217,151,0,0,0,11,Eom
53,2063501,6304,6336,0,-1,-1,0,303,223,0,0,0,11,Eom
54,2064501,6304,6336,0,-1,-1,0,147,101,0,0,0,11,Eom
55,2065501,6304,6336,0,-1,-1,0,335,290,0,0,0,11,Eom
56,2066501,6304,6336,0,-1,-1,0,225,167,0,0,0,11,Eom
57,2067501,6304,6336,0,-1,-1,0,121,113,0,0,0,11,Eom
58,2068501,6304,6336,0,-1,-1,0,221,183,0,0,0,11,Eom
59,2069501,6304,6336,0,-1,-1,0,249,208,0,0,0,11,Eom
60,2070501,6304,6336,0,-1,-1,0,240,171,0,0,0,11,Eom
61,2071501,6304,6336,0,-1,-1,0,300,195,0,0,0,11,Eom
62,2072501,6304,6336,0,-1,-1,0,195,140,0,0,0,11,Eom
63,2073501,6304,6336,0,-1,-1,0,215,194,0,0,0,11,Eom
64,2074501,6304,6336,0,-1,-1,0,279,233,0,0,0,11,Eom
65,2075501,6304,6336,0,-1,-1,0,240,174,0,0,0,11,Eom
66,2076501,6304,6336,0,-1,-1,0,189,133,0,0,0,11,Eom
67,2077501,6304,6336,0,-1,-1,0,262,185,0,0,0,11,Eom
68,2078501,6304,6336,0,-1,-1,0,268,204,0,0,0,11,Eom
69,2079501,6304,6336,0,-1,-1,0,244,177,0,0,0,11,Eom
70,2080501,6304,6336,0,-1,-1,0,199,152,0,0,0,11,Eom
71,2081501,6304,6336,0,-1,-1,0,182,152,0,0,0,11,Eom
72,2082501,6304,6336,0,-1,-1,0,186,146,0,0,0,11,Eom
73,2083501,6304,6336,0,-1,-1,0,297,225,0,0,0,11,Eom
74,2084501,6304,6336,0,-1,-1,0,191,169,0,0,0,11,Eom
75,2085501,6304,6336,0,-1,-1,0,255,158,0,0,0,11,Eom
76,2086501,6304,6336,0,-1,-1,0,170,138,0,0,0,11,Eom
77,2087501,6304,6336,0,-1,-1,0,251,136,0,0,0,11,Eom
78,2088501,6304,6336,0,-1,-1,0,144,117,0,0,0,11,Eom
79,2089501,6304,6336,0,-1,-1,0,209,169,0,0,0,11,Eom
80,2090501,6304,6336,0,-1,-1,0,238,158,0,0,0,11,Eom
81,2091501,6304,6336,0,-1,-1,0,213,180,0,0,0,11,Eom
82,2092501,6304,6336,0,-1,-1,0,275,240,0,0,0,11,Eom
83,2093501,6304,6336,0,-1,-1,0,202,161,0,0,0,11,Eom
84,2094501,6304,6336,0,-1,-1,0,291,215,0,0,0,11,Eom
85,2095501,6304,6336,0,-1,-1,0,141,100,0,0,0,11,Eom
86,2096501,6304,6336,0,-1,-1,0,225,196,0,0,0,11,Eom
87,2097501,6304,6336,0,-1,-1,0,319,252,0,0,0,11,Eom
88,2098501,6304,6336,0,-1,-1,0,301,239,0,0,0,11,Eom
89,2099501,6304,6336,0,-1,-1,0,199,136,0,0,0,11,Eom
90,2100501,6304,6336,0,-1,-1,0,215,158,0,0,0,11,Eom
91,2101501,6304,6336,0,-1,-1,0,220,170,0,0,0,11,Eom
92,2102501,6304,6336,0,-1,-1,0,252,220,0,0,0,11,Eom
93,2103501,6304,6336,0,-1,-1,0,144,127,0,0,0,11,Eom
94,2104501,6304,6336,0,-1,-1,0,175,143,0,0,0,11,Eom
95,2105501,6304,6336,0,-1,-1,0,221,188,0,0,0,11,Eom
96,2106501,6304,6336,0,-1,-1,0,214,178,0,0,0,11,Eom
97,2107501,6304,6336,0,-1,-1,0,291,241,0,0,0,11,Eom
98,2108501,6304,6336,0,-1,-1,0,259,173,0,0,0,11,Eom
99,2109501,6304,6336,0,-1,-1,0,254,174,0,0,0,11,Eom
100,2110501,6304,6336,0,-1,-1,0,291,205,0,0,0,11,Eom
101,2111501,6304,6336,0,-1,-1,0,157,127,0,0,0,11,Eom
102,2112501,6304,6336,0,-1,-1,0,264,205,0,0,0,11,Eom
103,2113501,6304,6336,0,-1,-1,0,152,111,0,0,0,11,Eom
104,2114501,6304,6336,0,-1,-1,0,198,189,0,0,0,11,Eom
105,2115501,6304,6336,0,-1,-1,0,245,202,0,0,0,11,Eom
106,2116501,6304,6336,0,-1,-1,0,237,191,0,0,0,11,Eom
107,2117501,6304,6336,0,-1,-1,0,310,176,0,0,0,11,Eom
108,2118501,6304,6336,0,-1,-1,0,221,178,0,0,0,11,Eom
109,2119501,6304,6336,0,-1,-1,0,180,142,0,0,0,11,Eom
110,2120501,6304,6336,0,-1,-1,0,202,143,0,0,0,11,Eom
111,2121501,6304,6336,0,-1,-1,0,242,176,0,0,0,11,Eom
112,2122501,6304,6336,0,-1,-1,0,274,212,0,0,0,11,Eom
113,2123501,6304,6336,0,-1,-1,0,353,214,0,0,0,11,Eom
114,2124501,6304,6336,0,-1,-1,0,168,130,0,0,0,11,Eom
115,2125501,6304,6336,0,-1,-1,0,252,212,0,0,0,11,Eom
116,2126501,6304,6336,0,-1,-1,0,179,153,0,0,0,11,Eom
117,2127501,6304,6336,0,-1,-1,0,172,119,0,0,0,11,Eom
118,2128501,6304,6336,0,-1,-1,0,131,111,0,0,0,11,Eom
