burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,504,53216,53248,0,-1,-1,8,10342,3608,13,0,0,0,Eom
1,1504,53216,53248,0,-1,-1,7,8473,2736,13,0,0,0,Eom
2,2504,53216,53248,0,-1,-1,5,9233,2409,13,0,0,0,Eom
3,3504,53216,53248,0,-1,-1,7,9918,2943,13,0,0,0,Eom
4,4504,53216,53248,0,-1,-1,6,8730,2932,13,0,0,0,Eom
5,5504,53216,53248,0,-1,-1,13,8185,2663,13,0,0,0,Eom
6,6504,53216,53248,0,-1,-1,9,8988,2708,13,0,0,0,Eom
7,7504,53216,53248,0,-1,-1,4,7880,2191,13,0,0,0,Eom
8,8504,53216,53248,0,-1,-1,7,9976,3255,13,0,0,0,Eom
9,9504,53216,53248,0,-1,-1,10,9355,3399,13,0,0,0,Eom
10,10504,53216,53248,0,-1,-1,9,9894,3483,13,0,0,0,Eom
11,11504,53216,53248,0,-1,-1,7,9583,3198,13,0,0,0,Eom
12,12504,53216,53248,0,-1,-1,8,9812,3386,13,0,0,0,Eom
13,13504,53216,53248,0,-1,-1,11,9529,2784,13,0,0,0,Eom
14,14504,53216,53248,0,-1,-1,2,8331,2172,13,0,0,0,Eom
