burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,3010501,6304,6336,0,-1,-1,0,263,178,0,0,0,11,Eom
1,3011501,6304,6336,0,-1,-1,0,154,127,0,0,0,11,Eom
2,3012501,6304,6336,0,-1,-1,0,212,183,0,0,0,11,Eom
3,3013501,6304,6336,0,-1,-1,0,259,220,0,0,0,11,Eom
4,3014501,6304,6336,0,-1,-1,0,160,131,0,0,0,11,Eom
5,3015501,6304,6336,0,-1,-1,0,204,163,0,0,0,11,Eom
6,3016501,6304,6336,0,-1,-1,0,258,203,0,0,0,11,Eom
7,3017501,6304,6336,0,-1,-1,0,247,203,0,0,0,11,Eom
8,3018501,6304,6336,0,-1,-1,0,200,151,0,0,0,11,Eom
9,3019501,6304,6336,0,-1,-1,0,217,129,0,0,0,11,Eom
10,3020501,6304,6336,0,-1,-1,0,214,149,0,0,0,11,Eom
11,3021501,6304,6336,0,-1,-1,0,194,158,0,0,0,11,Eom
12,3022501,6304,6336,0,-1,-1,0,169,127,0,0,0,11,Eom
13,3023501,6304,6336,0,-1,-1,0,272,160,0,0,0,11,Eom
14,3024501,6304,6336,0,-1,-1,0,236,201,0,0,0,11,Eom
15,3025501,6304,6336,0,-1,-1,0,219,151,0,0,0,11,Eom
16,3026501,6304,6336,0,-1,-1,0,194,150,0,0,0,11,Eom
17,3027501,6304,6336,0,-1,-1,0,314,211,0,0,0,11,Eom
18,3028501,6304,6336,0,-1,-1,0,246,188,0,0,0,11,Eom
19,3029501,6304,6336,0,-1,-1,0,255,210,0,0,0,11,Eom
20,3030501,6304,6336,0,-1,-1,0,329,222,0,0,0,11,Eom
21,3031501,6304,6336,0,-1,-1,0,219,169,0,0,0,11,Eom
22,3032501,6304,6336,0,-1,-1,0,236,209,0,0,0,11,Eom
23,3033501,6304,6336,0,-1,-1,0,224,170,0,0,0,11,Eom
24,3034501,6304,6336,0,-1,-1,0,130,101,0,0,0,11,Eom
25,3035501,6304,6336,0,-1,-1,0,371,235,0,0,0,11,Eom
26,3036501,6304,6336,0,-1,-1,0,296,262,0,0,0,11,Eom
27,3037501,6304,6336,0,-1,-1,0,217,169,0,0,0,11,Eom
28,3038501,6304,6336,0,-1,-1,0,142,111,0,0,0,11,Eom
29,3039501,6304,6336,0,-1,-1,0,179,118,0,0,0,11,Eom
30,3040501,6304,6336,0,-1,-1,0,152,128,0,0,0,11,Eom
31,3041501,6304,6336,0,-1,-1,0,344,268,0,0,0,11,Eom
32,3042501,6304,6336,0,-1,-1,0,164,127,0,0,0,11,Eom
33,3043501,6304,6336,3,5430,5434,0,325,230,0,0,0,11,Eom
34,3044501,6304,6336,0,-1,-1,0,253,192,0,0,0,11,Eom
35,3045501,6304,6336,0,-1,-1,0,244,170,0,0,0,11,Eom
36,3046501,6304,6336,0,-1,-1,0,237,199,0,0,0,11,Eom
37,3047501,6304,6336,0,-1,-1,0,322,238,0,0,0,11,Eom
38,3048501,6304,6336,0,-1,-1,0,231,137,0,0,0,11,Eom
