WN8 @ 23 dB baseSeed 10508 worker 3 burst 0 (channelSeed 3010509) MFB-form receiver, window [-8,18)
b0 anatomy: mean|ring|^2=4.51E-002 anchors=65 a0:E=3.89E-002@pk10 a1:E=4.93E-002@pk0 a2:E=7.45E-002@pk0 a3:E=7.61E-002@pk0 lock=//K@Hz
final-residual per block: b0:2.9040E-004 b1:3.0330E-004 b2:3.0247E-004 b3:2.9447E-004 b4:3.0173E-004 b5:2.9901E-004 b6:2.9260E-004 b7:3.5665E-004 b8:3.0035E-004 b9:3.2583E-004 b10:3.0733E-004
anchor-fit residual per block: b0:7.43E-005 b1:7.07E-005 b2:7.13E-005 b3:6.90E-005 b4:6.74E-005 b5:6.52E-005 b6:7.16E-005 b7:7.11E-005 b8:6.71E-005 b9:7.42E-005 b10:7.20E-005
truth-recon residual per block: b0:2.90E-004 b1:3.03E-004 b2:3.02E-004 b3:2.94E-004 b4:3.02E-004 b5:2.99E-004 b6:2.93E-004 b7:3.57E-004 b8:3.00E-004 b9:2.98E-004 b10:3.07E-004
R0 coded errors 71110/540672: b0:13030 b1:6746 b2:6054 b3:2528 b4:5818 b5:2453 b6:7800 b7:8160 b8:7664 b9:8713 b10:2144
R1 coded errors 29208/540672: b0:10025 b1:1709 b2:786 b3:143 b4:778 b5:189 b6:2030 b7:2614 b8:4051 b9:6757 b10:126
R2 coded errors 10710/540672: b0:5593 b1:165 b2:41 b3:0 b4:0 b5:6 b6:123 b7:316 b8:1337 b9:3118 b10:11
R3 coded errors 5064/540672: b0:2987 b1:8 b2:0 b3:0 b4:0 b5:0 b6:0 b7:15 b8:216 b9:1838 b10:0
R4 coded errors 2316/540672: b0:1417 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:34 b9:865 b10:0
R5 coded errors 1114/540672: b0:576 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:538 b10:0
R6 coded errors 423/540672: b0:210 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:213 b10:0
R7 coded errors 282/540672: b0:126 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:156 b10:0
R8 coded errors 213/540672: b0:94 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:119 b10:0
R9 coded errors 175/540672: b0:61 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:114 b10:0
R10 coded errors 155/540672: b0:66 b1:0 b2:0 b3:0 b4:0 b5:0 b6:0 b7:0 b8:0 b9:89 b10:0
