WN8 @ 23 dB baseSeed 10508 worker 0 burst 0 (channelSeed 10509) MFB-form receiver, window [-17,9)
b0 anatomy: mean|ring|^2=4.30E-002 anchors=65 a0:E=8.91E-002@pk0 a1:E=1.38E-001@pk0 a2:E=1.70E-001@pk0 a3:E=1.40E-001@pk-10 lock=//K@Hz
anchor-fit residual per block: b0:7.33E-005 b1:7.20E-005 b2:7.08E-005 b3:7.06E-005 b4:6.82E-005 b5:6.76E-005 b6:7.17E-005 b7:6.43E-005 b8:6.46E-005 b9:6.22E-005 b10:6.72E-005
truth-recon residual per block: b0:2.96E-004 b1:2.93E-004 b2:3.10E-004 b3:3.00E-004 b4:3.40E-004 b5:2.91E-004 b6:2.95E-004 b7:2.99E-004 b8:3.01E-004 b9:3.05E-004 b10:3.30E-004
R0 coded errors 260245/540672: b0:23583 b1:23297 b2:23829 b3:23431 b4:23868 b5:23568 b6:23698 b7:23161 b8:24236 b9:23634 b10:23940
R1 coded errors 232261/540672: b0:22097 b1:18505 b2:21598 b3:20499 b4:21284 b5:21938 b6:21968 b7:20354 b8:22109 b9:20938 b10:20971
R2 coded errors 195101/540672: b0:19615 b1:13235 b2:18619 b3:16400 b4:18684 b5:18748 b6:19116 b7:17260 b8:20530 b9:16215 b10:16679
R3 coded errors 161535/540672: b0:17401 b1:9291 b2:16793 b3:13833 b4:15453 b5:16377 b6:16026 b7:13952 b8:18328 b9:11637 b10:12444
R4 coded errors 133340/540672: b0:15777 b1:5692 b2:14620 b3:11522 b4:13698 b5:14247 b6:13733 b7:11411 b8:16915 b9:7406 b10:8319
R5 coded errors 105423/540672: b0:14379 b1:2705 b2:13247 b3:9162 b4:11461 b5:12061 b6:11495 b7:8885 b8:14973 b9:3700 b10:3355
R6 coded errors 86001/540672: b0:13183 b1:1181 b2:11478 b3:7554 b4:9729 b5:10082 b6:9690 b7:7092 b8:13980 b9:1110 b10:922
R7 coded errors 70061/540672: b0:12149 b1:433 b2:10378 b3:5981 b4:8093 b5:7922 b6:7720 b7:5056 b8:11964 b9:191 b10:174
R8 coded errors 57592/540672: b0:10596 b1:152 b2:8960 b3:4418 b4:6991 b5:6438 b6:5667 b7:3666 b8:10698 b9:6 b10:0
R9 coded errors 45818/540672: b0:9925 b1:19 b2:7471 b3:2799 b4:5565 b5:4488 b6:4056 b7:2579 b8:8916 b9:0 b10:0
R10 coded errors 35436/540672: b0:8484 b1:0 b2:5622 b3:1813 b4:4588 b5:3208 b6:2788 b7:1446 b8:7487 b9:0 b10:0
R11 coded errors 26682/540672: b0:7477 b1:0 b2:4029 b3:1087 b4:3690 b5:1954 b6:1982 b7:802 b8:5661 b9:0 b10:0
R12 coded errors 19572/540672: b0:6175 b1:0 b2:2750 b3:770 b4:2858 b5:1538 b6:1067 b7:339 b8:4075 b9:0 b10:0
R13 coded errors 13819/540672: b0:5200 b1:0 b2:1337 b3:299 b4:2362 b5:752 b6:813 b7:189 b8:2867 b9:0 b10:0
R14 coded errors 9639/540672: b0:4029 b1:0 b2:849 b3:249 b4:1738 b5:564 b6:473 b7:54 b8:1683 b9:0 b10:0
R15 coded errors 7109/540672: b0:3154 b1:0 b2:538 b3:34 b4:1570 b5:406 b6:364 b7:42 b8:1001 b9:0 b10:0
R16 coded errors 4833/540672: b0:2390 b1:0 b2:378 b3:17 b4:1031 b5:314 b6:173 b7:0 b8:530 b9:0 b10:0
R17 coded errors 3592/540672: b0:2032 b1:0 b2:262 b3:0 b4:739 b5:243 b6:108 b7:0 b8:208 b9:0 b10:0
R18 coded errors 2549/540672: b0:1536 b1:0 b2:223 b3:0 b4:484 b5:246 b6:27 b7:0 b8:33 b9:0 b10:0
R19 coded errors 1695/540672: b0:1041 b1:0 b2:118 b3:0 b4:359 b5:132 b6:36 b7:0 b8:9 b9:0 b10:0
R20 coded errors 1020/540672: b0:582 b1:0 b2:68 b3:0 b4:269 b5:94 b6:0 b7:0 b8:7 b9:0 b10:0
R21 coded errors 719/540672: b0:380 b1:0 b2:62 b3:0 b4:243 b5:34 b6:0 b7:0 b8:0 b9:0 b10:0
R22 coded errors 432/540672: b0:153 b1:0 b2:58 b3:0 b4:179 b5:42 b6:0 b7:0 b8:0 b9:0 b10:0
R23 coded errors 298/540672: b0:50 b1:0 b2:49 b3:0 b4:173 b5:26 b6:0 b7:0 b8:0 b9:0 b10:0
R24 coded errors 216/540672: b0:15 b1:0 b2:34 b3:0 b4:131 b5:36 b6:0 b7:0 b8:0 b9:0 b10:0
R25 coded errors 199/540672: b0:0 b1:0 b2:30 b3:0 b4:150 b5:19 b6:0 b7:0 b8:0 b9:0 b10:0
R26 coded errors 115/540672: b0:0 b1:0 b2:5 b3:0 b4:110 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R27 coded errors 148/540672: b0:0 b1:0 b2:0 b3:0 b4:148 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R28 coded errors 107/540672: b0:0 b1:0 b2:0 b3:0 b4:107 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R29 coded errors 125/540672: b0:0 b1:0 b2:0 b3:0 b4:125 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R30 coded errors 103/540672: b0:0 b1:0 b2:0 b3:0 b4:103 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R31 coded errors 125/540672: b0:0 b1:0 b2:0 b3:0 b4:125 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R32 coded errors 103/540672: b0:0 b1:0 b2:0 b3:0 b4:103 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
R33 coded errors 125/540672: b0:0 b1:0 b2:0 b3:0 b4:125 b5:0 b6:0 b7:0 b8:0 b9:0 b10:0
