burst,channelSeed,bits,decoded,errors,firstErr,lastErr,collapses,uncodedErrs,deepFadeErrs,turboC,turboR,turboA,turboS,reason
0,1000102,12256,12288,0,-1,-1,1,15315,0,8,0,0,0,Eom
1,1001102,12256,12288,0,-1,-1,1,15328,0,8,0,0,0,Eom
2,1002102,12256,12288,0,-1,-1,1,15375,0,8,0,0,0,Eom
3,1003102,12256,12288,0,-1,-1,1,15215,0,8,0,0,0,Eom
4,1004102,12256,12288,0,-1,-1,0,15379,0,8,0,0,0,Eom
5,1005102,12256,12288,0,-1,-1,3,15479,0,8,0,0,0,Eom
6,1006102,12256,12288,0,-1,-1,0,15571,0,8,0,0,0,Eom
7,1007102,12256,12288,0,-1,-1,0,15516,0,8,0,0,0,Eom
8,1008102,12256,12288,0,-1,-1,1,15074,0,8,0,0,0,Eom
9,1009102,12256,12288,0,-1,-1,1,15172,0,8,0,0,0,Eom
10,1010102,12256,12288,0,-1,-1,1,15145,0,8,0,0,0,Eom
11,1011102,12256,12288,0,-1,-1,1,15253,0,8,0,0,0,Eom
12,1012102,12256,12288,0,-1,-1,2,15255,0,8,0,0,0,Eom
13,1013102,12256,12288,0,-1,-1,1,15205,0,8,0,0,0,Eom
14,1014102,12256,12288,0,-1,-1,1,15252,0,8,0,0,0,Eom
15,1015102,12256,12288,0,-1,-1,1,15516,0,8,0,0,0,Eom
16,1016102,12256,12288,0,-1,-1,0,15555,0,8,0,0,0,Eom
17,1017102,12256,12288,0,-1,-1,1,15267,0,8,0,0,0,Eom
18,1018102,12256,12288,0,-1,-1,1,15446,0,8,0,0,0,Eom
19,1019102,12256,12288,0,-1,-1,1,15429,0,8,0,0,0,Eom
20,1020102,12256,12288,0,-1,-1,1,15466,0,8,0,0,0,Eom
21,1021102,12256,12288,0,-1,-1,0,15375,0,8,0,0,0,Eom
22,1022102,12256,12288,0,-1,-1,0,15438,0,8,0,0,0,Eom
23,1023102,12256,12288,0,-1,-1,1,15378,0,8,0,0,0,Eom
24,1024102,12256,12288,0,-1,-1,1,15285,0,8,0,0,0,Eom
25,1025102,12256,12288,0,-1,-1,1,15305,0,8,0,0,0,Eom
26,1026102,12256,12288,0,-1,-1,1,15447,0,8,0,0,0,Eom
27,1027102,12256,12288,0,-1,-1,1,15296,0,8,0,0,0,Eom
28,1028102,12256,12288,0,-1,-1,0,15479,0,8,0,0,0,Eom
29,1029102,12256,12288,0,-1,-1,1,15356,0,8,0,0,0,Eom
30,1030102,12256,12288,0,-1,-1,0,15435,0,8,0,0,0,Eom
31,1031102,12256,12288,0,-1,-1,1,15323,0,8,0,0,0,Eom
32,1032102,12256,12288,0,-1,-1,0,15589,0,8,0,0,0,Eom
33,1033102,12256,12288,0,-1,-1,0,15616,0,8,0,0,0,Eom
34,1034102,12256,12288,0,-1,-1,1,15368,0,8,0,0,0,Eom
35,1035102,12256,12288,0,-1,-1,2,15384,0,8,0,0,0,Eom
36,1036102,12256,12288,0,-1,-1,1,15335,0,8,0,0,0,Eom
37,1037102,12256,12288,0,-1,-1,1,15344,0,8,0,0,0,Eom
38,1038102,12256,12288,0,-1,-1,1,15440,0,8,0,0,0,Eom
39,1039102,12256,12288,0,-1,-1,1,15429,0,8,0,0,0,Eom
40,1040102,12256,12288,0,-1,-1,1,15338,0,8,0,0,0,Eom
41,1041102,12256,12288,0,-1,-1,3,15310,0,8,0,0,0,Eom
42,1042102,12256,12288,0,-1,-1,0,15472,0,8,0,0,0,Eom
43,1043102,12256,12288,0,-1,-1,1,15560,0,8,0,0,0,Eom
44,1044102,12256,12288,0,-1,-1,1,15548,0,8,0,0,0,Eom
45,1045102,12256,12288,0,-1,-1,1,15418,0,8,0,0,0,Eom
46,1046102,12256,12288,0,-1,-1,0,15483,0,8,0,0,0,Eom
47,1047102,12256,12288,0,-1,-1,1,15256,0,8,0,0,0,Eom
48,1048102,12256,12288,0,-1,-1,2,15337,0,8,0,0,0,Eom
49,1049102,12256,12288,0,-1,-1,1,15287,0,8,0,0,0,Eom
50,1050102,12256,12288,0,-1,-1,1,15244,0,8,0,0,0,Eom
51,1051102,12256,12288,0,-1,-1,1,15410,0,8,0,0,0,Eom
52,1052102,12256,12288,0,-1,-1,0,15397,0,8,0,0,0,Eom
53,1053102,12256,12288,0,-1,-1,0,15498,0,8,0,0,0,Eom
54,1054102,12256,12288,0,-1,-1,2,15363,0,8,0,0,0,Eom
55,1055102,12256,12288,0,-1,-1,0,15508,0,8,0,0,0,Eom
56,1056102,12256,12288,0,-1,-1,1,15450,0,8,0,0,0,Eom
57,1057102,12256,12288,0,-1,-1,0,15564,0,8,0,0,0,Eom
58,1058102,12256,12288,0,-1,-1,0,15322,0,8,0,0,0,Eom
59,1059102,12256,12288,0,-1,-1,1,15300,0,8,0,0,0,Eom
60,1060102,12256,12288,0,-1,-1,1,15483,0,8,0,0,0,Eom
61,1061102,12256,12288,0,-1,-1,1,15292,0,8,0,0,0,Eom
