Bandwidth (kHz),0 Walsh,1 BPSK,2 BPSK,3 BPSK,4 BPSK,5 BPSK,6 QPSK,7 8PSK,8 16QAM,9 32QAM,10 64QAM,11 64QAM,12 256QAM,13 QPSK
3,75,150,300,600,1200,1600,3200,4800,6400,8000,9600,12000,16000,2400
6,150,300,600,1200,2400,3200,6400,9600,12800,16000,19200,24000,32000,
9,300,600,1200,2400,-,4800,9600,14400,19200,24000,28800,36000,48000,
12,300,600,1200,2400,4800,6400,12800,19200,25600,32000,38400,48000,64000,
15,300,600,1200,2400,4800,8000,16000,24000,32000,40000,48000,57600,76800,
18,600,1200,2400,4800,-,9600,19200,28800,38400,48000,57600,72000,90000,
21,300,600,1200,2400,4800,9600,19200,28800,38400,48000,57600,76800,115200,
24,600,1200,2400,4800,9600,12800,25600,38400,51200,64000,76800,96000,120000,
30,600,1200,2400,4800,9600,16000,32000,48000,64000,80000,96000,120000,160000,
36,1200,2400,4800,9600,12800,19200,38400,57600,76800,96000,115200,144000,192000,
42,1200,2400,4800,9600,14400,19200,38400,57600,76800,96000,115200,160000,192000,
48,1200,2400,4800,9600,16000,24000,48000,72000,96000,120000,144000,192000,240000,
