Symbol Number,In-Phase,Quadrature
0,1.000000,0.000000
1,0.822878,0.568218
2,0.821137,0.152996
3,0.932897,0.360142
4,0.000000,-1.000000
5,0.822878,-0.568218
6,0.821137,-0.152996
7,0.932897,-0.360142
8,0.568218,0.822878
9,0.588429,0.588429
10,0.588429,0.117686
11,0.588429,0.353057
12,0.568218,-0.822878
13,0.588429,-0.588429
14,0.588429,-0.117686
15,0.588429,-0.353057
16,0.152996,0.821137
17,0.117686,0.588429
18,0.117686,0.117686
19,0.117686,0.353057
20,0.152996,-0.821137
21,0.117686,-0.588429
22,0.117686,-0.117686
23,0.117686,-0.353057
24,0.360142,0.932897
25,0.353057,0.588429
26,0.353057,0.117686
27,0.353057,0.353057
28,0.360142,-0.932897
29,0.353057,-0.588429
30,0.353057,-0.117686
31,0.353057,-0.353057
32,0.000000,1.000000
33,-0.822878,0.568218
34,-0.821137,0.152996
35,-0.932897,0.360142
36,-1.000000,0.000000
37,-0.822878,-0.568218
38,-0.821137,-0.152996
39,-0.932897,-0.360142
40,-0.568218,0.822878
41,-0.588429,0.588429
42,-0.588429,0.117686
43,-0.588429,0.353057
44,-0.568218,-0.822878
45,-0.588429,-0.588429
46,-0.588429,-0.117686
47,-0.588429,-0.353057
48,-0.152996,0.821137
49,-0.117686,0.588429
50,-0.117686,0.117686
51,-0.117686,0.353057
52,-0.152996,-0.821137
53,-0.117686,-0.588429
54,-0.117686,-0.117686
55,-0.117686,-0.353057
56,-0.360142,0.932897
57,-0.353057,0.588429
58,-0.353057,0.117686
59,-0.353057,0.353057
60,-0.360142,-0.932897
61,-0.353057,-0.588429
62,-0.353057,-0.117686
63,-0.353057,-0.353057
