Bandwidth (kHz),0 (Walsh),1 (BPSK),2 (BPSK),3 (BPSK),4 (BPSK),5 (BPSK),6 (QPSK),7 (8PSK),8 (16QAM),9 (32QAM),10 (64QAM),11 (64QAM),12 (256QAM),13 (QPSK)
3,N/A,48,48,32,32,32,32,32,32,32,32,24,24,32
6,N/A,96,96,68,68,68,68,68,68,68,68,36,36,
9,N/A,144,144,144,-,96,96,96,96,96,96,72,72,
12,N/A,192,192,128,128,128,128,128,128,128,128,72,72,
15,N/A,192,192,192,192,160,160,160,160,160,160,128,128,
18,N/A,224,224,224,-,192,192,192,192,192,192,128,128,
21,N/A,240,240,240,240,224,224,224,224,224,224,128,128,
24,N/A,272,272,272,272,272,272,272,272,272,272,128,128,
30,N/A,384,384,384,384,320,320,320,320,320,320,180,180,
36,N/A,576,576,576,384,384,384,384,384,384,384,216,216,
42,N/A,576,576,576,576,576,576,576,576,576,576,192,192,
48,N/A,512,512,512,512,512,512,512,512,512,512,192,192,
