# crc16 <hexdata> <crc16hex>
crc16 A5 9565
crc16 A3C4 F5F4
crc16 98884D D08D
crc16 1D29A711F8F8A015C669929D D5BD
crc16 C994BF3E0C21D65168F9847BFAAC4759AC 00FC
crc16 07AC9A620EEED2290DF514BE195DC0A500CDEF04080ECA5FECB879988717B9FC65 6115
crc16 1373D3632482825CC4090A3DCC2D5CC31779407A0EEF2D7036DD66BAAD18F208A507821560472B3E0857791BFFB7AAA5AA5949B5EAE1AC63ABE1D51E41774EBF 4CFF
crc16 781413C236F998AE28C0F523767F175D1CAEABC3BE6E0D45D803E756FA2B58627CBBF13129C44C3EBA934C40D41158B6BE734C552D6F636B1385E88EF1ADE8AC65F9D9109CD2F79C26C3A70EE459BB4662497802FDACA02EBEE536ADDC0E4216CE6D0767617BEAB7F666B721527A6FBA6419E8E0133FC12B1464D3E9E4B073E8 8908
crc16 AA568B70018F4FF9601665F968BAEC547999A1E5C4715073DF3CECDE9EE7A9312346817F2B97645441AD25B6903388048932364D7AAB68AB9D21C59D1FDBB1E6FE7892C992246ED6858453775FD7A61702C77712A236D4BEC40CBD9B2E57CA3493CD4998E75AE221DD0B97B7CF4D781085ED9017D69AA4FBA9573D4250C571BF34814F9B81C80B06AA42E28904D81E77A4361130D7B4874EA1A246F39F32EE7F607364F1E434E360F13DBAD0A4E5D3DC2687F2B84D4971C9A9D0858BEE081C2A786CE00879862102258706 8FE6
crc16 4152444F50 7B00
# crc8 <asciistring> <crc8hex>
crc8 M7TFFGB7RDG 1D
crc8 M7TFF-3GB7RDG-15 79
crc8 N0CALLN0CALL 5E
crc8 AB1CDEF-12ZZ9ZZZ-15 5B
crc8 AA B3
# parity <typehex> <parity>
parity 00 1
parity 01 0
parity 02 3
parity 03 2
parity 04 0
parity 05 1
parity 06 2
parity 07 3
parity 08 3
parity 09 2
parity 0A 1
parity 0B 0
parity 0C 2
parity 0D 3
parity 0E 0
parity 0F 1
parity 10 0
parity 11 1
parity 12 2
parity 13 3
parity 14 1
parity 15 0
parity 16 3
parity 17 2
parity 18 2
parity 19 3
parity 1A 0
parity 1B 1
parity 1C 3
parity 1D 2
parity 1E 1
parity 1F 0
parity 20 3
parity 21 2
parity 22 1
parity 23 0
parity 24 2
parity 25 3
parity 26 0
parity 27 1
parity 28 1
parity 29 0
parity 2A 3
parity 2B 2
parity 2C 0
parity 2D 1
parity 2E 2
parity 2F 3
parity 30 2
parity 31 3
parity 32 0
parity 33 1
parity 34 3
parity 35 2
parity 36 1
parity 37 0
parity 38 0
parity 39 1
parity 3A 2
parity 3B 3
parity 3C 1
parity 3D 0
parity 3E 3
parity 3F 2
parity 40 0
parity 41 1
parity 42 2
parity 43 3
parity 44 1
parity 45 0
parity 46 3
parity 47 2
parity 48 2
parity 49 3
parity 4A 0
parity 4B 1
parity 4C 3
parity 4D 2
parity 4E 1
parity 4F 0
parity 50 1
parity 51 0
parity 52 3
parity 53 2
parity 54 0
parity 55 1
parity 56 2
parity 57 3
parity 58 3
parity 59 2
parity 5A 1
parity 5B 0
parity 5C 2
parity 5D 3
parity 5E 0
parity 5F 1
parity 60 2
parity 61 3
parity 62 0
parity 63 1
parity 64 3
parity 65 2
parity 66 1
parity 67 0
parity 68 0
parity 69 1
parity 6A 2
parity 6B 3
parity 6C 1
parity 6D 0
parity 6E 3
parity 6F 2
parity 70 3
parity 71 2
parity 72 1
parity 73 0
parity 74 2
parity 75 3
parity 76 0
parity 77 1
parity 78 1
parity 79 0
parity 7A 3
parity 7B 2
parity 7C 0
parity 7D 1
parity 7E 2
parity 7F 3
parity 80 3
parity 81 2
parity 82 1
parity 83 0
parity 84 2
parity 85 3
parity 86 0
parity 87 1
parity 88 1
parity 89 0
parity 8A 3
parity 8B 2
parity 8C 0
parity 8D 1
parity 8E 2
parity 8F 3
parity 90 2
parity 91 3
parity 92 0
parity 93 1
parity 94 3
parity 95 2
parity 96 1
parity 97 0
parity 98 0
parity 99 1
parity 9A 2
parity 9B 3
parity 9C 1
parity 9D 0
parity 9E 3
parity 9F 2
parity A0 1
parity A1 0
parity A2 3
parity A3 2
parity A4 0
parity A5 1
parity A6 2
parity A7 3
parity A8 3
parity A9 2
parity AA 1
parity AB 0
parity AC 2
parity AD 3
parity AE 0
parity AF 1
parity B0 0
parity B1 1
parity B2 2
parity B3 3
parity B4 1
parity B5 0
parity B6 3
parity B7 2
parity B8 2
parity B9 3
parity BA 0
parity BB 1
parity BC 3
parity BD 2
parity BE 1
parity BF 0
parity C0 2
parity C1 3
parity C2 0
parity C3 1
parity C4 3
parity C5 2
parity C6 1
parity C7 0
parity C8 0
parity C9 1
parity CA 2
parity CB 3
parity CC 1
parity CD 0
parity CE 3
parity CF 2
parity D0 3
parity D1 2
parity D2 1
parity D3 0
parity D4 2
parity D5 3
parity D6 0
parity D7 1
parity D8 1
parity D9 0
parity DA 3
parity DB 2
parity DC 0
parity DD 1
parity DE 2
parity DF 3
parity E0 0
parity E1 1
parity E2 2
parity E3 3
parity E4 1
parity E5 0
parity E6 3
parity E7 2
parity E8 2
parity E9 3
parity EA 0
parity EB 1
parity EC 3
parity ED 2
parity EE 1
parity EF 0
parity F0 1
parity F1 0
parity F2 3
parity F3 2
parity F4 0
parity F5 1
parity F6 2
parity F7 3
parity F8 3
parity F9 2
parity FA 1
parity FB 0
parity FC 2
parity FD 3
parity FE 0
parity FF 1
# rs <datalen> <rslen> <hexdata> <hexparity>
rs 12 4 E73B8B67ADCAAF10F32F280B 9EB4FB8B
rs 12 4 662C0BCAAF4D42FCCC5FE0DE 17A56794
rs 12 4 4D755A946FE1E688C6ABC0C1 649C6333
rs 19 4 4EA6B8B5BE923783570873FD16D6D2D6F1B4C2 D77E321E
rs 19 4 2874AE2313FBD07BDEF54144DBF16295CC4481 2E35654B
rs 19 4 B052C0A1744C926F100863DA9F1D154BC3595B D1C24D19
rs 35 8 D98EAB17DD9CCBFE3079258E438A66A647BEB727EDCF458F23A51D54645C7C9FA74323 075772FAA3B83D9A
rs 35 8 EF61EF4C12F6C94C1929FC8B23451A1BA0EE4448940BF60ECBF6231DFB812245730F1C CB4E4C379E1E310B
rs 35 8 40695D63ACA7D5294AC81A9F31A0FE550A8A89C11B4D8A545B338505B1C9867C629141 A1DEFDB3B3E6C054
rs 67 16 4AA52F5B1D2B653E58B5174D51599FA2747B17F816ABB1058D744DDD4965F8028EB9C4575A174729C0CC6941D58D06E72C26045BD888BA4F1E2D600ED40E61D3CD87B1 C9B3A202299F7E5CC3A2ED94956D0775
rs 67 16 D7AF7537338CAB4B57C1FFB49D329C57C686F76F3475661DE374A861D804DF28293583C3FFBB632A57558BD839EA1DB91255A72F2837A980953FEF10BA01AFD4790152 E106C91642639D1F07ACAEDA1DEF6820
rs 67 16 FEA21529A34DB5CCCC54970EC3E5A599890D6A2B68C79A5221E75AFE48FA143EC09D1F9F59F170D75DD6958E478ACE156BA378549552033E0F54160424B7A6A7F549AA 136670080F75BBF3C7FA35FF15D476BB
rs 203 50 205E00920AD8AD679D75EA6731A09F29D953045B14B089E2B0F7AD936EA44911E651E4FE83EE8A3039B72E0EF0841FEAD916B999DD0D059AF140B480FAAD8B6FC889CAA82A215F1A8C67EC4A780D433998A96FA229C6CCB402E37A3FF14C0B59013008E45940E1D00574E7BDBBC6E73E202BAFA5F3E886C85BA7F741F732C0CF778E4BA12809FDE553C515888EEEC5444B9AD45A5B7B71FC35ADDE9D96EC76BAFAAEB63C338E300715D3B77616E07C7DC2FF9EE69CD9E0453EF85F51B3228C64DA7CEE46A6C2936754587D E041FCBBC0BE044DA8E669EDF7D94BB6CB9062924355D7477B31370360172E80BE388928B6FDEB616DCD7A124EFCE50A6FFC
rs 203 50 1133A45E9C820481FB736154BF99E48B791310BA87BF442FC8F2181EE8F0283E88F7880A20461B4E8B3988AC8F7097F9CA6D80674CCC2C13A0CD1523BB8B0018CE49D04EA111A5F485F543B3E1ECF9A654362BEC7C624B83B070047B5B245B402E9EBE21A3C7C081F21024C7587E168711E45430A747B4D7E12E99D4DB6A492B0F9DCDBB76B4AA44B140CDEF9CC81890C090640889C511E3ED53EFAE90B4834BDD7575C09661F6F7FD5CF97BA8FA00047DBEB9C0A6E7E99696B77EC33B2F0E31F5D3CE9B555C11D922468D EE58E5658ED39114BE067B5A638573B97B233A72FB9FB1B84E6F78A3A5CA47EF6993E7AFB2815192756E3A573AE1F5FC715A
rs 203 50 747DFC667293DF90B252C5AEE1BDAD9588F4641FE9DC7DBE8A9C646524F46A527B06753978D73737652CC9D8E9AE4914B4D3601EAB12CB609CF6AD5003916FB52954A3C1B29F8460CDA4119A502CBAC94849D918E7C2D2711000B944EAB5C856D7926B333F4AA4133FBFD49BD8F83844BB8939F6CEA1C7EA2D461A6532167DD099CD498B3B8DA910BE231E90D02E7E0E2EEDA1B7A9339082777F8B0EE56673CF02FF9BCB34ECE2DB460CBE1DE038B4C60A430FEE8B7C50E1B579BFD732862ACACB10219852E27653A56715 1516F8BA8293524AA79915291E80A3D9D52BDCADBB8CF51709F4A5A843FD5DD81F9861AD85538DC7AEB8054182054A192B7A
